Trajectory_ID,Order,Latitude,Longitude,Latitude_2,Longitude_2,Bearing,Type
0,0,35.26254,-59.455566,35.262455,-59.455708,233.75471865504844,Fishing
0,4,35.262455,-59.455708,35.262455,-59.4554,89.99991109208054,Fishing
0,9,35.262455,-59.4554,35.262436,-59.455547,261.00495448277036,Fishing
0,11,35.262436,-59.455547,35.26273,-59.455997,308.6651366291636,Fishing
0,16,35.26273,-59.455997,35.262653,-59.456223,247.35067436119823,Fishing
0,18,35.262653,-59.456223,35.262436,-59.456253,186.440423872039,Fishing
0,20,35.262436,-59.456253,35.26224,-59.456104,148.17126569048776,Fishing
0,22,35.26224,-59.456104,,,,Fishing
2,0,35.26243,-59.455612,35.26228,-59.455643,189.57825715394125,Fishing
2,1,35.26228,-59.455643,35.26216,-59.45564,178.83058502597692,Fishing
2,2,35.26216,-59.45564,35.262135,-59.45561,135.58389020235893,Fishing
2,3,35.262135,-59.45561,35.26218,-59.455597,13.272498066244168,Fishing
2,4,35.26218,-59.455597,35.262264,-59.45573,307.72207534379623,Fishing
2,5,35.262264,-59.45573,35.262287,-59.45577,305.1535983773227,Fishing
2,6,35.262287,-59.45577,35.262257,-59.45573,132.56853975744076,Fishing
2,7,35.262257,-59.45573,,,,Fishing
3,0,35.262493,-59.455524,35.26235,-59.455364,137.5856060285057,Fishing
3,2,35.26235,-59.455364,35.26238,-59.45503,83.72236304397148,Fishing
3,5,35.26238,-59.45503,35.26228,-59.45467,108.78811113729165,Fishing
3,8,35.26228,-59.45467,35.262333,-59.454243,81.35631224344382,Fishing
3,11,35.262333,-59.454243,35.262253,-59.45406,118.16426496233237,Fishing
3,13,35.262253,-59.45406,35.26212,-59.453888,133.4411294918421,Fishing
3,15,35.26212,-59.453888,35.26224,-59.453766,39.69696288618894,Fishing
3,17,35.26224,-59.453766,,,,Fishing
6,0,35.26244,-59.455704,35.262226,-59.455685,175.85361762595255,Fishing
6,2,35.262226,-59.455685,35.262234,-59.45543,87.7995705675927,Fishing
6,6,35.262234,-59.45543,35.262096,-59.45545,186.74877889376705,Fishing
6,8,35.262096,-59.45545,35.26225,-59.45596,290.29528719792125,Fishing
6,16,35.26225,-59.45596,35.26248,-59.45583,24.773739721912875,Fishing
6,19,35.26248,-59.45583,35.26237,-59.456085,242.15219877936704,Fishing
6,22,35.26237,-59.456085,35.262585,-59.4564,309.89292335124037,Fishing
6,27,35.262585,-59.4564,,,,Fishing
8,0,35.262684,-59.455494,35.26281,-59.45509,69.09466938420996,Fishing
8,3,35.26281,-59.45509,35.262936,-59.4548,61.98155484475052,Fishing
8,5,35.262936,-59.4548,35.262993,-59.45451,76.46510290548872,Fishing
8,7,35.262993,-59.45451,35.26291,-59.45415,105.76780993540359,Fishing
8,9,35.26291,-59.45415,35.26289,-59.453754,93.53938745635912,Fishing
8,12,35.26289,-59.453754,35.26292,-59.453526,80.84555244636067,Fishing
8,14,35.26292,-59.453526,35.263058,-59.45316,65.21329556843091,Fishing
8,17,35.263058,-59.45316,,,,Fishing
9,0,35.26264,-59.455475,35.262745,-59.455296,54.306076842525954,Fishing
9,2,35.262745,-59.455296,35.262714,-59.455196,110.78989452693014,Fishing
9,3,35.262714,-59.455196,35.262577,-59.454895,119.13652083387421,Fishing
9,5,35.262577,-59.454895,35.26262,-59.45456,81.06597364760336,Fishing
9,8,35.26262,-59.45456,35.262398,-59.454315,137.97761532717414,Fishing
9,11,35.262398,-59.454315,35.262447,-59.453976,79.96119016409892,Fishing
9,14,35.262447,-59.453976,35.262497,-59.453808,69.97321530432896,Fishing
9,17,35.262497,-59.453808,,,,Fishing
10,0,35.262592,-59.4555,35.26263,-59.455017,84.49613787952046,Fishing
10,3,35.26263,-59.455017,35.262676,-59.454494,83.8517094250098,Fishing
10,6,35.262676,-59.454494,35.262604,-59.45377,96.94394019471935,Fishing
10,10,35.262604,-59.45377,35.262608,-59.453197,89.50999544986729,Fishing
10,13,35.262608,-59.453197,35.2626,-59.45271,91.15241302509332,Fishing
10,16,35.2626,-59.45271,35.262615,-59.45226,87.66212925438282,Fishing
10,19,35.262615,-59.45226,35.262623,-59.45183,88.69459143294841,Fishing
10,22,35.262623,-59.45183,,,,Fishing
25,0,35.262577,-59.455517,35.262463,-59.453075,93.27153315925756,Fishing
25,14,35.262463,-59.453075,35.26271,-59.451443,79.49844513953065,Fishing
25,23,35.26271,-59.451443,35.26266,-59.44957,91.87202339882123,Fishing
25,34,35.26266,-59.44957,35.26288,-59.447067,83.8552622456101,Fishing
25,48,35.26288,-59.447067,35.262726,-59.444866,94.89716175689784,Fishing
25,61,35.262726,-59.444866,35.262775,-59.441635,88.93500108668428,Fishing
25,81,35.262775,-59.441635,35.262905,-59.440884,78.0301662706105,Fishing
25,85,35.262905,-59.440884,,,,Fishing
29,0,35.262638,-59.455444,35.262653,-59.45523,85.0934250191093,Fishing
29,1,35.262653,-59.45523,35.262657,-59.45505,88.44097266025733,Fishing
29,2,35.262657,-59.45505,35.26267,-59.454895,84.13519611795488,Fishing
29,3,35.26267,-59.454895,35.26266,-59.454754,94.96418217381552,Fishing
