Trajectory_ID,Order,Latitude,Longitude,Latitude_2,Longitude_2,Bearing,Type
4,0,35.262623,-59.455547,35.262623,-59.45511,89.9998738544597,Container
4,5,35.262623,-59.45511,35.26262,-59.45485,90.8095385301296,Container
4,8,35.26262,-59.45485,35.262634,-59.454655,84.9749359900954,Container
4,11,35.262634,-59.454655,35.26262,-59.45428,92.6177927237936,Container
4,17,35.26262,-59.45428,35.262615,-59.453846,90.8082447825703,Container
4,23,35.262615,-59.453846,35.26259,-59.453384,93.7914630857085,Container
4,29,35.26259,-59.453384,35.26257,-59.45293,93.0881146606604,Container
4,35,35.26257,-59.45293,35.262577,-59.4525,88.8577063205782,Container
4,41,35.262577,-59.4525,35.26253,-59.452023,96.8807262976575,Container
4,47,35.26253,-59.452023,35.262535,-59.45175,88.7149516212236,Container
4,51,35.262535,-59.45175,35.26253,-59.451447,91.1576939319998,Container
4,56,35.26253,-59.451447,35.262535,-59.451107,88.9680854148711,Container
4,61,35.262535,-59.451107,35.262547,-59.450794,87.3116178516839,Container
4,66,35.262547,-59.450794,35.262577,-59.45052,82.3625091059158,Container
4,70,35.262577,-59.45052,35.262585,-59.45024,87.9958469790367,Container
4,75,35.262585,-59.45024,35.262592,-59.44997,88.1812809777822,Container
4,80,35.262592,-59.44997,35.262573,-59.449646,94.1078278238136,Container
4,85,35.262573,-59.449646,,,,Container
5,0,35.26256,-59.455547,35.262623,-59.45499,82.1132544066704,Container
5,7,35.262623,-59.45499,35.262653,-59.454456,86.0638471232843,Container
5,14,35.262653,-59.454456,35.26262,-59.45399,94.9566668151587,Container
5,21,35.26262,-59.45399,35.262684,-59.45367,76.2366489105334,Container
5,25,35.262684,-59.45367,35.2627,-59.45341,85.6898431097749,Container
5,29,35.2627,-59.45341,35.262783,-59.453106,71.5109676342731,Container
5,33,35.262783,-59.453106,35.262806,-59.45288,82.8952440635725,Container
5,37,35.262806,-59.45288,35.262756,-59.452442,97.9587102473237,Container
5,44,35.262756,-59.452442,35.262802,-59.45222,75.7605250497678,Container
5,48,35.262802,-59.45222,35.26279,-59.451965,93.298457739641,Container
5,52,35.26279,-59.451965,35.26287,-59.451687,70.5855364285945,Container
5,56,35.26287,-59.451687,35.26295,-59.451355,73.5578438544781,Container
5,60,35.26295,-59.451355,35.262943,-59.451077,91.7662672819352,Container
5,64,35.262943,-59.451077,35.26295,-59.45079,88.2889268539804,Container
5,69,35.26295,-59.45079,35.26296,-59.45058,86.6622215245977,Container
5,73,35.26296,-59.45058,35.263004,-59.450195,82.0320536090665,Container
5,78,35.263004,-59.450195,35.26295,-59.44972,97.9262960823256,Container
5,85,35.26295,-59.44972,,,,Container
16,0,35.262585,-59.455555,35.262577,-59.455215,91.6505308384535,Container
16,4,35.262577,-59.455215,35.26256,-59.45496,94.6676481826386,Container
16,8,35.26256,-59.45496,35.262558,-59.454712,90.5658061953215,Container
16,12,35.262558,-59.454712,35.262547,-59.45442,92.6414751566675,Container
16,16,35.262547,-59.45442,35.26257,-59.454193,82.9262446062373,Container
16,19,35.26257,-59.454193,35.26259,-59.4539,85.2211878734082,Container
16,23,35.26259,-59.4539,35.262592,-59.453632,89.476271888571,Container
16,26,35.262592,-59.453632,35.262577,-59.45335,93.7271598953929,Container
16,30,35.262577,-59.45335,35.262585,-59.45312,87.5606728673947,Container
16,33,35.262585,-59.45312,35.26259,-59.452824,88.81476010879,Container
16,37,35.26259,-59.452824,35.262608,-59.452545,85.4821340015892,Container
16,41,35.262608,-59.452545,35.26263,-59.452255,84.6918239976893,Container
16,45,35.26263,-59.452255,35.262634,-59.451782,89.4064708117177,Container
16,52,35.262634,-59.451782,35.262634,-59.45128,89.9998550913434,Container
16,59,35.262634,-59.45128,35.26266,-59.450855,85.7150565723263,Container
16,66,35.26266,-59.450855,35.262676,-59.450592,85.7388258116733,Container
16,70,35.262676,-59.450592,35.26268,-59.450344,88.8682815533907,Container
16,74,35.26268,-59.450344,,,,Container
20,0,35.262585,-59.455624,35.26256,-59.45557,119.553168997047,Container
20,1,35.26256,-59.45557,35.262554,-59.455524,99.0760574604744,Container
20,2,35.262554,-59.455524,35.262527,-59.45547,121.481556200513,Container
20,3,35.262527,-59.45547,35.262493,-59.455418,128.686898823368,Container
20,4,35.262493,-59.455418,35.262447,-59.455353,130.916174600031,Container
20,5,35.262447,-59.455353,35.26243,-59.45529,108.287604954478,Container
20,6,35.26243,-59.45529,35.26244,-59.45523,78.4632944960571,Container
20,7,35.26244,-59.45523,35.262486,-59.455185,38.6166453836363,Container
20,8,35.262486,-59.455185,35.262516,-59.455074,71.6851965372018,Container
20,10,35.262516,-59.455074,35.2625,-59.45502,109.944752850152,Container
20,11,35.2625,-59.45502,35.2625,-59.454895,89.9999639157817,Container
20,13,35.2625,-59.454895,35.2625,-59.454834,89.9999823904999,Container
20,14,35.2625,-59.454834,35.262478,-59.45474,105.994165281168,Container
20,16,35.262478,-59.45474,35.262463,-59.45467,104.705020014204,Container
20,17,35.262463,-59.45467,35.26245,-59.454517,95.9408186189606,Container
20,19,35.26245,-59.454517,35.262455,-59.45445,84.7778448239666,Container
20,20,35.262455,-59.45445,35.262447,-59.45433,94.6676804134725,Container
20,22,35.262447,-59.45433,,,,Container
28,0,35.26259,-59.455524,35.262592,-59.455303,89.3649291363305,Container
28,3,35.262592,-59.455303,35.262573,-59.45508,95.9570841148019,Container
28,6,35.262573,-59.45508,35.262573,-59.454865,89.9999379374389,Container
28,9,35.262573,-59.454865,35.262554,-59.45463,95.6549086476485,Container
28,12,35.262554,-59.45463,35.262554,-59.454395,89.9999321646864,Container
28,15,35.262554,-59.454395,35.262554,-59.454258,89.9999604526078,Container
28,18,35.262554,-59.454258,35.26253,-59.453777,93.4967740012382,Container
28,24,35.26253,-59.453777,35.262547,-59.45335,87.2083900098681,Container
28,30,35.262547,-59.45335,35.262558,-59.45291,88.2461428386467,Container
28,36,35.262558,-59.45291,35.262558,-59.452496,89.9998804940738,Container
28,42,35.262558,-59.452496,35.262558,-59.4523,89.9999434219447,Container
28,45,35.262558,-59.4523,35.26256,-59.452015,89.5075008946198,Container
28,49,35.26256,-59.452015,35.26257,-59.45167,87.9668082952373,Container
28,55,35.26257,-59.45167,35.26258,-59.451263,88.2762959679412,Container
28,61,35.26258,-59.451263,35.262566,-59.45088,92.563180415081,Container
28,67,35.262566,-59.45088,35.262558,-59.45067,92.6711881520357,Container
28,70,35.262558,-59.45067,35.262573,-59.45036,86.6084994245684,Container
28,74,35.262573,-59.45036,,,,Container
32,0,35.26259,-59.455578,35.262585,-59.455242,91.0440009843487,Container
32,4,35.262585,-59.455242,35.262585,-59.455097,89.9999581431495,Container
32,6,35.262585,-59.455097,35.262592,-59.454895,87.5697265106452,Container
32,9,35.262592,-59.454895,35.262577,-59.45463,93.9655308504132,Container
32,13,35.262577,-59.45463,35.262558,-59.45428,93.8035913246613,Container
32,18,35.262558,-59.45428,35.26254,-59.45395,93.8217419051437,Container
