Trajectory_ID,Order,Latitude,Longitude,Latitude_2,Longitude_2,Bearing,Type
21,0,35.26244,-59.45541,35.26239,-59.45488,96.59052954785977,Cargo
21,2,35.26239,-59.45488,35.26251,-59.45413,78.91289912651024,Cargo
21,5,35.26251,-59.45413,35.262333,-59.45346,107.92849050302624,Cargo
21,8,35.262333,-59.45346,35.26244,-59.452747,79.5854538258979,Cargo
21,11,35.26244,-59.452747,35.26235,-59.452225,101.92314388793079,Cargo
21,14,35.26235,-59.452225,35.26282,-59.450665,69.74622366829033,Cargo
21,21,35.26282,-59.450665,35.262707,-59.44932,95.87437026747511,Cargo
21,27,35.262707,-59.44932,,,,Cargo
36,0,35.262608,-59.455326,35.26262,-59.45254,89.69695376125094,Cargo
36,11,35.26262,-59.45254,35.262623,-59.451015,89.86151838944215,Cargo
36,17,35.262623,-59.451015,35.262634,-59.448975,89.62104258144575,Cargo
36,23,35.262634,-59.448975,35.262634,-59.44734,89.99952803663825,Cargo
36,29,35.262634,-59.44734,35.262646,-59.445606,89.5138972669244,Cargo
36,35,35.262646,-59.445606,35.262653,-59.44403,89.68787400719418,Cargo
36,41,35.262653,-59.44403,35.26266,-59.442318,89.71259320833258,Cargo
36,47,35.26266,-59.442318,,,,Cargo
38,0,35.262768,-59.455383,35.262928,-59.45488,68.71528668728598,Cargo
38,3,35.262928,-59.45488,35.263256,-59.454357,52.47242472346983,Cargo
38,6,35.263256,-59.454357,35.26359,-59.45404,37.77371764695158,Cargo
38,8,35.26359,-59.45404,35.26366,-59.453846,66.15863364544072,Cargo
38,9,35.26366,-59.453846,35.26336,-59.453236,121.06151475017714,Cargo
38,12,35.26336,-59.453236,35.263237,-59.452755,107.38959185396277,Cargo
38,14,35.263237,-59.452755,35.263653,-59.452194,47.754796264234756,Cargo
38,17,35.263653,-59.452194,,,,Cargo
39,0,35.26268,-59.45531,35.2633,-59.45451,46.49385135669655,Cargo
39,4,35.2633,-59.45451,35.263214,-59.454014,101.98864188642983,Cargo
39,7,35.263214,-59.454014,35.263596,-59.45351,47.13030114052731,Cargo
39,11,35.263596,-59.45351,35.263515,-59.453083,103.07916514458645,Cargo
39,14,35.263515,-59.453083,35.264103,-59.452374,44.552997779601526,Cargo
39,18,35.264103,-59.452374,35.263912,-59.451843,113.77511526115063,Cargo
39,21,35.263912,-59.451843,35.263985,-59.451572,71.74162900156256,Cargo
39,22,35.263985,-59.451572,,,,Cargo
46,0,35.26264,-59.455338,35.26235,-59.45451,113.21650474182525,Cargo
46,3,35.26235,-59.45451,35.262264,-59.453266,94.83914254229774,Cargo
46,8,35.262264,-59.453266,35.262363,-59.452423,81.81517276135241,Cargo
46,11,35.262363,-59.452423,35.261795,-59.451115,118.00506264068503,Cargo
46,17,35.261795,-59.451115,35.261642,-59.449966,99.26197038851626,Cargo
