Trajectory_ID,Order,Latitude,Longitude,Latitude_2,Longitude_2,Bearing,Type
0,0,35.2626,-59.455414,35.262737,-59.454075,82.8572613060431,Container
0,4,35.262737,-59.454075,35.262863,-59.453327,78.3430173542441,Container
0,6,35.262863,-59.453327,35.262997,-59.452377,80.1985917798885,Container
0,9,35.262997,-59.452377,35.2634,-59.450603,74.4517777676349,Container
0,13,35.2634,-59.450603,35.263706,-59.449337,73.5095467459565,Container
0,17,35.263706,-59.449337,35.263744,-59.448345,87.3136376528396,Container
0,19,35.263744,-59.448345,35.263912,-59.44649,83.6701164124965,Container
0,22,35.263912,-59.44649,,,,Container
14,0,35.26253,-59.455463,35.262703,-59.454845,71.0759643168382,Container
14,2,35.262703,-59.454845,35.263218,-59.454006,53.0651217126239,Container
14,5,35.263218,-59.454006,35.26324,-59.453632,85.8792636416177,Container
14,7,35.26324,-59.453632,35.26308,-59.453045,108.460210747639,Container
14,11,35.26308,-59.453045,35.263416,-59.453037,1.11372566541633,Container
14,13,35.263416,-59.453037,35.264206,-59.4536,329.805586912464,Container
14,18,35.264206,-59.4536,35.26465,-59.45486,293.344279103438,Container
14,22,35.26465,-59.45486,,,,Container
24,0,35.262604,-59.455463,35.262768,-59.453964,82.3678502112738,Container
24,8,35.262768,-59.453964,35.26305,-59.452606,75.7304390827304,Container
24,11,35.26305,-59.452606,35.263638,-59.447926,81.2508041742093,Container
24,25,35.263638,-59.447926,35.2643,-59.444443,76.8949777869689,Container
24,35,35.2643,-59.444443,35.265247,-59.437378,80.6750517005954,Container
24,51,35.265247,-59.437378,35.26637,-59.430126,79.2587556823027,Container
24,68,35.26637,-59.430126,35.26682,-59.427917,75.9899701162202,Container
24,74,35.26682,-59.427917,,,,Container
52,0,35.26262,-59.45541,35.2627,-59.454845,80.1619249354996,Container
52,3,35.2627,-59.454845,35.262775,-59.454407,78.1558824772908,Container
52,6,35.262775,-59.454407,35.263035,-59.453537,69.896668207806,Container
52,11,35.263035,-59.453537,35.263138,-59.453247,66.4914254801016,Container
52,14,35.263138,-59.453247,35.26322,-59.452778,77.9135667641106,Container
52,17,35.26322,-59.452778,35.263752,-59.451687,59.1535791808573,Container
52,22,35.263752,-59.451687,35.26391,-59.45088,76.5155571069951,Container
52,27,35.26391,-59.45088,,,,Container
66,0,35.262634,-59.455402,35.262768,-59.454926,70.977003964245,Container
66,2,35.262768,-59.454926,35.263077,-59.45404,66.8708459046111,Container
66,5,35.263077,-59.45404,35.263184,-59.453266,80.3901790790595,Container
66,8,35.263184,-59.453266,35.263493,-59.452053,72.6723627306587,Container
66,12,35.263493,-59.452053,35.263714,-59.45102,75.3171647668928,Container
66,16,35.263714,-59.45102,35.264107,-59.449856,67.5342379816349,Container
66,19,35.264107,-59.449856,35.264404,-59.448975,67.5649195895184,Container
66,22,35.264404,-59.448975,,,,Container
69,0,35.262615,-59.4554,35.262615,-59.45518,89.9999364942179,Container
69,1,35.262615,-59.45518,35.262623,-59.454838,88.3589190320905,Container
69,2,35.262623,-59.454838,35.26263,-59.454548,88.306622210947,Container
69,3,35.26263,-59.454548,35.262634,-59.45421,89.1695322914592,Container
69,4,35.262634,-59.45421,35.262634,-59.45389,89.9999076279143,Container
69,5,35.262634,-59.45389,35.262638,-59.453587,89.0736408486495,Container
69,6,35.262638,-59.453587,35.262646,-59.45325,88.3345866969113,Container
69,7,35.262646,-59.45325,,,,Container
80,0,35.262623,-59.455433,35.262676,-59.45518,75.6103963921364,Container
80,1,35.262676,-59.45518,35.262722,-59.454865,79.85988699828,Container
80,2,35.262722,-59.454865,35.262753,-59.45467,78.9823465523751,Container
80,3,35.262753,-59.45467,35.262768,-59.45448,84.477272733572,Container
80,4,35.262768,-59.45448,35.26279,-59.454258,83.079867512513,Container
80,5,35.26279,-59.454258,35.262836,-59.454,77.6821038849954,Container
80,6,35.262836,-59.454,35.262875,-59.4537,80.9535623576194,Container
80,7,35.262875,-59.4537,,,,Container
92,0,35.262615,-59.455444,35.262836,-59.454174,77.9687214071508,Container
92,4,35.262836,-59.454174,35.26325,-59.452972,67.1283267571341,Container
92,10,35.26325,-59.452972,35.26344,-59.451664,79.9120101832528,Container
92,15,35.26344,-59.451664,35.263794,-59.450573,68.3271681990036,Container
92,20,35.263794,-59.450573,35.26393,-59.449768,78.30954571421,Container
92,24,35.26393,-59.449768,35.264088,-59.449245,69.6954928203065,Container
92,28,35.264088,-59.449245,35.2644,-59.44832,67.554096099224,Container
92,32,35.2644,-59.44832,,,,Container
100,0,35.262615,-59.455517,35.26268,-59.45491,82.5282518994699,Container
100,2,35.26268,-59.45491,35.262783,-59.45413,80.813109909633,Container
100,5,35.262783,-59.45413,35.263004,-59.45271,79.2079946034384,Container
100,8,35.263004,-59.45271,35.263092,-59.451904,82.3835361743008,Container
100,11,35.263092,-59.451904,35.26324,-59.45042,83.0358141579719,Container
100,16,35.26324,-59.45042,35.263386,-59.44913,82.107990815778,Container
100,19,35.263386,-59.44913,35.26356,-59.447937,79.8718431892933,Container
100,22,35.26356,-59.447937,,,,Container
104,0,35.262585,-59.4554,35.262592,-59.4552,87.5454545108449,Container
104,1,35.262592,-59.4552,35.26261,-59.454895,85.8658519947674,Container
104,2,35.26261,-59.454895,35.262623,-59.454662,86.0908792782704,Container
104,3,35.262623,-59.454662,35.262638,-59.454403,85.9427515713837,Container
104,4,35.262638,-59.454403,35.262646,-59.454205,87.1670536210673,Container
