Trajectory_ID,Order,Latitude,Longitude,Latitude_2,Longitude_2,Bearing,Type
4,0,35.262623,-59.455547,35.262634,-59.454655,89.1344685500462,Container
4,11,35.262634,-59.454655,35.262615,-59.453846,91.6473375291225,Container
4,23,35.262615,-59.453846,35.26257,-59.45293,93.4428578483537,Container
4,35,35.26257,-59.45293,35.26253,-59.452023,93.0913810526831,Container
4,47,35.26253,-59.452023,35.26253,-59.451447,89.9998337309706,Container
4,56,35.26253,-59.451447,35.262547,-59.450794,88.1736172171065,Container
4,66,35.262547,-59.450794,35.262573,-59.449646,88.4108344320442,Container
4,85,35.262573,-59.449646,,,,Container
5,0,35.26256,-59.455547,35.262653,-59.454456,84.0396816838999,Container
5,14,35.262653,-59.454456,35.26262,-59.45399,94.9566668151587,Container
5,21,35.26262,-59.45399,35.262806,-59.45288,78.4022772534012,Container
5,37,35.262806,-59.45288,35.26279,-59.451965,91.2265880493638,Container
5,52,35.26279,-59.451965,35.26295,-59.451355,72.1908044041251,Container
5,60,35.26295,-59.451355,35.263004,-59.450195,86.7365938205861,Container
5,78,35.263004,-59.450195,35.26295,-59.44972,97.9262960823256,Container
5,85,35.26295,-59.44972,,,,Container
16,0,35.262585,-59.455555,35.26256,-59.45496,92.9455971096502,Container
16,8,35.26256,-59.45496,35.262547,-59.45442,91.6886596619039,Container
16,16,35.262547,-59.45442,35.262577,-59.45335,88.0330489952136,Container
16,30,35.262577,-59.45335,35.26259,-59.452824,88.2661095988055,Container
16,37,35.26259,-59.452824,35.26263,-59.452255,85.0790234087076,Container
16,45,35.26263,-59.452255,35.262634,-59.45128,89.7118391718868,Container
16,59,35.262634,-59.45128,35.26268,-59.450344,86.5553000328998,Container
16,74,35.26268,-59.450344,,,,Container
28,0,35.26259,-59.455524,35.262554,-59.45463,92.8231377949124,Container
28,12,35.262554,-59.45463,35.26253,-59.453777,91.9733066384436,Container
28,24,35.26253,-59.453777,35.262558,-59.45291,87.7347352320318,Container
28,36,35.262558,-59.45291,35.262558,-59.452496,89.9998804940738,Container
28,42,35.262558,-59.452496,35.26256,-59.452015,89.7080918386353,Container
28,49,35.26256,-59.452015,35.26258,-59.451263,88.1341888845815,Container
28,61,35.26258,-59.451263,35.262573,-59.45036,90.5436853356312,Container
28,74,35.262573,-59.45036,,,,Container
32,0,35.26259,-59.455578,35.262592,-59.454895,89.7943245028836,Container
32,9,35.262592,-59.454895,35.262558,-59.45428,93.8732906888591,Container
32,18,35.262558,-59.45428,35.262547,-59.45368,91.2860812339596,Container
32,27,35.262547,-59.45368,35.262535,-59.452892,91.0682442614435,Container
32,37,35.262535,-59.452892,35.262524,-59.451588,90.5915366623395,Container
32,55,35.262524,-59.451588,35.262493,-59.450916,93.2334273146612,Container
32,64,35.262493,-59.450916,35.262466,-59.450268,92.9210730888283,Container
32,74,35.262466,-59.450268,,,,Container
42,0,35.2626,-59.455555,35.26262,-59.455303,84.4482266759111,Container
42,3,35.26262,-59.455303,35.262604,-59.45514,96.8550232884958,Container
42,6,35.262604,-59.45514,35.262585,-59.45473,93.2482309576064,Container
42,12,35.262585,-59.45473,35.262604,-59.454456,85.1456855429633,Container
42,17,35.262604,-59.454456,35.262653,-59.454193,77.146268168061,Container
42,22,35.262653,-59.454193,35.26266,-59.453907,88.2829543740382,Container
42,27,35.26266,-59.453907,35.26269,-59.453583,83.5302085966984,Container
42,32,35.26269,-59.453583,,,,Container
44,0,35.2626,-59.45558,35.2625,-59.455303,113.851873070553,Container
44,4,35.2625,-59.455303,35.262466,-59.45511,102.175060355592,Container
44,8,35.262466,-59.45511,35.262547,-59.454845,69.4766727195547,Container
44,13,35.262547,-59.454845,35.26251,-59.45463,101.901701878684,Container
44,16,35.26251,-59.45463,35.26241,-59.454388,116.843029376423,Container
44,20,35.26241,-59.454388,35.26242,-59.454193,86.4061511612341,Container
44,23,35.26242,-59.454193,35.26237,-59.45402,109.492069614006,Container
44,27,35.26237,-59.45402,,,,Container
47,0,35.262592,-59.45557,35.262573,-59.45515,93.1710457186327,Container
47,7,35.262573,-59.45515,35.26267,-59.4547,75.2114709895441,Container
47,14,35.26267,-59.4547,35.26261,-59.4541,96.9821748088679,Container
47,24,35.26261,-59.4541,35.262726,-59.453876,57.6158635662682,Container
47,27,35.262726,-59.453876,35.26263,-59.453632,115.727331255019,Container
47,31,35.26263,-59.453632,35.26262,-59.453167,91.5085746961302,Container
47,39,35.26262,-59.453167,35.262737,-59.45279,69.1888341720564,Container
47,47,35.262737,-59.45279,,,,Container
48,0,35.262608,-59.455597,35.26253,-59.454556,95.2427947791397,Container
48,18,35.26253,-59.454556,35.26273,-59.453693,74.1543186176873,Container
48,31,35.26273,-59.453693,35.26272,-59.453167,91.3336617383982,Container
48,40,35.26272,-59.453167,35.26253,-59.452602,112.384255080887,Container
48,49,35.26253,-59.452602,35.26238,-59.451996,106.864370272973,Container
48,59,35.26238,-59.451996,35.262463,-59.451733,68.8680553600267,Container
48,63,35.262463,-59.451733,35.262283,-59.45107,108.391859713391,Container
48,74,35.262283,-59.45107,,,,Container
49,0,35.262608,-59.455563,35.26205,-59.45406,114.450105928758,Container
49,8,35.26205,-59.45406,35.261806,-59.447906,92.7782339107916,Container
49,39,35.261806,-59.447906,35.262234,-59.446835,63.9213531951195,Container
49,45,35.262234,-59.446835,35.261036,-59.444744,125.055629716794,Container
49,57,35.261036,-59.444744,35.261456,-59.443096,72.6653647066282,Container
49,66,35.261456,-59.443096,35.260845,-59.440094,103.995657150392,Container
49,86,35.260845,-59.440094,35.261295,-59.43846,71.3613979225747,Container
49,98,35.261295,-59.43846,,,,Container
60,0,35.262585,-59.455524,35.262577,-59.454807,90.782685956685,Container
60,10,35.262577,-59.454807,35.262577,-59.45407,89.999787255881,Container
60,21,35.262577,-59.45407,35.262558,-59.453384,91.9425724546437,Container
60,31,35.262558,-59.453384,35.262547,-59.45265,91.0512808672783,Container
60,42,35.262547,-59.45265,35.26255,-59.45117,89.857334320279,Container
60,63,35.26255,-59.45117,35.26256,-59.45042,89.0642516743786,Container
60,74,35.26256,-59.45042,35.26255,-59.449604,90.8596401264199,Container
60,85,35.26255,-59.449604,,,,Container
70,0,35.26265,-59.45552,35.262882,-59.452343,84.8884298075566,Container
70,19,35.262882,-59.452343,35.2632,-59.45142,67.1222868662511,Container
70,23,35.2632,-59.45142,35.262836,-59.44966,104.213293347694,Container
70,31,35.262836,-59.44966,35.262497,-59.443844,94.0814984432961,Container
70,59,35.262497,-59.443844,35.262833,-59.442734,69.6586421793228,Container
70,65,35.262833,-59.442734,35.262634,-59.44104,98.1865919857737,Container
70,73,35.262634,-59.44104,35.263027,-59.438465,79.4117835485914,Container
70,85,35.263027,-59.438465,,,,Container
77,0,35.26259,-59.455547,35.262592,-59.45492,89.7759887145658,Container
77,10,35.262592,-59.45492,35.262592,-59.454163,89.999781482423,Container
77,21,35.262592,-59.454163,35.2626,-59.45349,89.1657349775775,Container
77,31,35.2626,-59.45349,35.262592,-59.452682,90.694496661035,Container
77,42,35.262592,-59.452682,35.2626,-59.451267,89.6028704828809,Container
77,63,35.2626,-59.451267,35.262596,-59.450497,90.3642983208867,Container
77,74,35.262596,-59.450497,35.2626,-59.449844,89.5699809115445,Container
77,85,35.2626,-59.449844,,,,Container
82,0,35.26259,-59.455566,35.262592,-59.454807,89.8148773200364,Container
