Trajectory_ID,Order,Latitude,Longitude,Latitude_2,Longitude_2,Bearing,Type
24,0,35.262585,-59.455463,35.262524,-59.453953,92.8319820349298,Cruise
24,8,35.262524,-59.453953,35.26262,-59.452557,85.1854358255311,Cruise
24,11,35.26262,-59.452557,35.262516,-59.44783,91.5421160455909,Cruise
24,25,35.262516,-59.44783,35.2627,-59.444263,86.3840674063979,Cruise
24,35,35.2627,-59.444263,35.262615,-59.43712,90.8328996924669,Cruise
24,51,35.262615,-59.43712,35.26269,-59.42975,89.2838198957157,Cruise
24,68,35.26269,-59.42975,35.262844,-59.42748,85.2497338097024,Cruise
24,74,35.262844,-59.42748,,,,Cruise
36,0,35.262585,-59.455364,35.262287,-59.4545,112.899597707402,Cruise
36,4,35.262287,-59.4545,35.262432,-59.452282,85.4217537005197,Cruise
36,17,35.262432,-59.452282,35.262604,-59.450943,81.0591282185911,Cruise
36,22,35.262604,-59.450943,35.262043,-59.449566,116.516844956676,Cruise
36,29,35.262043,-59.449566,35.262592,-59.4481,65.361444878143,Cruise
36,36,35.262592,-59.4481,35.262604,-59.447037,89.207595050782,Cruise
36,42,35.262604,-59.447037,35.262985,-59.446033,65.0726100299115,Cruise
36,47,35.262985,-59.446033,,,,Cruise
52,0,35.26253,-59.455418,35.262424,-59.45487,103.327384482462,Cruise
52,3,35.262424,-59.45487,35.26236,-59.45444,100.330506496534,Cruise
52,6,35.26236,-59.45444,35.262383,-59.453632,88.0031345524631,Cruise
52,10,35.262383,-59.453632,35.262424,-59.453236,82.7732737185434,Cruise
52,14,35.262424,-59.453236,35.26236,-59.452778,99.7113374128942,Cruise
52,17,35.26236,-59.452778,35.262695,-59.451588,70.9768356636596,Cruise
52,22,35.262695,-59.451588,35.262596,-59.45077,98.4309786770974,Cruise
52,27,35.262596,-59.45077,,,,Cruise
54,0,35.26254,-59.45543,35.26271,-59.454388,78.7002307134341,Cruise
54,8,35.26271,-59.454388,35.26295,-59.453808,63.1247967282646,Cruise
54,12,35.26295,-59.453808,35.262997,-59.452885,86.4311592468067,Cruise
54,16,35.262997,-59.452885,35.263412,-59.451855,63.7353010175904,Cruise
54,21,35.263412,-59.451855,35.26332,-59.45108,98.2718921960741,Cruise
54,25,35.26332,-59.45108,35.263462,-59.450027,80.621484887095,Cruise
54,29,35.263462,-59.450027,35.263332,-59.449375,103.722571716454,Cruise
54,32,35.263332,-59.449375,,,,Cruise
62,0,35.262638,-59.455536,35.26271,-59.45502,80.3021956032378,Cruise
62,3,35.26271,-59.45502,35.262333,-59.45431,123.03603771165,Cruise
62,8,35.262333,-59.45431,35.26273,-59.45158,79.9007274678029,Cruise
62,24,35.26273,-59.45158,35.26349,-59.44943,66.5903270655804,Cruise
62,36,35.26349,-59.44943,35.26325,-59.44388,93.0300230158215,Cruise
62,63,35.26325,-59.44388,35.263584,-59.439777,84.3053690432085,Cruise
62,84,35.263584,-59.439777,35.26288,-59.43764,111.971811905552,Cruise
62,98,35.26288,-59.43764,,,,Cruise
93,0,35.26257,-59.455456,35.262596,-59.453617,89.0074802777041,Cruise
93,11,35.262596,-59.453617,35.26225,-59.452,104.68426354423,Cruise
93,19,35.26225,-59.452,35.262436,-59.45017,82.9038422832659,Cruise
93,28,35.262436,-59.45017,35.262096,-59.444485,94.1875529568335,Cruise
93,56,35.262096,-59.444485,35.262066,-59.442627,91.1323199999008,Cruise
93,64,35.262066,-59.442627,35.262302,-59.441257,78.0864853246742,Cruise
93,70,35.262302,-59.441257,35.26237,-59.438114,88.4812730644535,Cruise
93,85,35.26237,-59.438114,,,,Cruise
119,0,35.26262,-59.4555,35.262638,-59.454346,88.9052754078871,Cruise
119,5,35.262638,-59.454346,35.262417,-59.453068,101.957378237911,Cruise
119,10,35.262417,-59.453068,35.26285,-59.451862,66.2635709637968,Cruise
119,15,35.26285,-59.451862,35.26285,-59.451355,89.9998536472629,Cruise
119,17,35.26285,-59.451355,35.262558,-59.45048,112.229894091768,Cruise
119,21,35.262558,-59.45048,35.26271,-59.449066,82.4995697103232,Cruise
119,27,35.26271,-59.449066,35.262096,-59.44756,116.533408445068,Cruise
119,32,35.262096,-59.44756,,,,Cruise
120,0,35.262585,-59.455563,35.262146,-59.45189,98.3266880363139,Cruise
120,9,35.262146,-59.45189,35.26318,-59.436207,85.3790118742879,Cruise
120,42,35.26318,-59.436207,35.262936,-59.432896,95.15627629432,Cruise
120,51,35.262936,-59.432896,35.26329,-59.431377,74.0697600146798,Cruise
120,54,35.26329,-59.431377,35.262302,-59.424892,100.567304006886,Cruise
120,66,35.262302,-59.424892,35.26209,-59.417694,92.0637412561572,Cruise
120,81,35.26209,-59.417694,35.26234,-59.40982,87.7709206967282,Cruise
120,98,35.26234,-59.40982,,,,Cruise
137,0,35.262573,-59.455425,35.262474,-59.454693,99.4047509889914,Cruise
137,3,35.262474,-59.454693,35.262505,-59.45398,86.9517568792285,Cruise
137,7,35.262505,-59.45398,35.262753,-59.452625,77.3653115677894,Cruise
137,12,35.262753,-59.452625,35.26297,-59.45116,79.7174097856151,Cruise
137,17,35.26297,-59.45116,35.262875,-59.44974,94.6836948930023,Cruise
137,24,35.262875,-59.44974,35.26297,-59.449116,79.4379508402617,Cruise
137,26,35.26297,-59.449116,35.26292,-59.446766,91.4919936581152,Cruise
137,32,35.26292,-59.446766,,,,Cruise
144,0,35.262585,-59.455505,35.262653,-59.454113,86.575776969602,Cruise
144,7,35.262653,-59.454113,35.26257,-59.44716,90.8355871176586,Cruise
144,39,35.26257,-59.44716,35.262756,-59.44342,86.513427871733,Cruise
144,58,35.262756,-59.44342,35.26256,-59.440006,94.0209711111891,Cruise
144,71,35.26256,-59.440006,35.26254,-59.437946,90.6806462519766,Cruise
144,79,35.26254,-59.437946,35.262314,-59.434475,94.5582496497705,Cruise
144,92,35.262314,-59.434475,35.26239,-59.43312,86.0699944730147,Cruise
144,98,35.26239,-59.43312,,,,Cruise
149,0,35.26259,-59.45546,35.262577,-59.45474,91.2665647739206,Cruise
149,3,35.262577,-59.45474,35.2627,-59.45305,84.9058395629783,Cruise
149,7,35.2627,-59.45305,35.262737,-59.452045,87.4180387856084,Cruise
149,10,35.262737,-59.452045,35.26279,-59.450928,86.6738931076158,Cruise
149,14,35.26279,-59.450928,35.262764,-59.44978,91.5885070505636,Cruise
149,19,35.262764,-59.44978,35.262615,-59.448086,96.1478882422099,Cruise
149,25,35.262615,-59.448086,35.262646,-59.446674,88.4593779315314,Cruise
149,32,35.262646,-59.446674,,,,Cruise
161,0,35.262383,-59.45538,35.262142,-59.453876,101.102599446677,Cruise
161,6,35.262142,-59.453876,35.262268,-59.45314,78.1583741531293,Cruise
161,9,35.262268,-59.45314,35.262028,-59.452652,121.061124337751,Cruise
161,13,35.262028,-59.452652,35.261707,-59.450245,99.2754143777807,Cruise
161,23,35.261707,-59.450245,35.26199,-59.449467,65.9872377524585,Cruise
161,26,35.26199,-59.449467,35.261715,-59.44818,104.664475286544,Cruise
161,30,35.261715,-59.44818,35.26191,-59.447414,72.6837418675747,Cruise
161,32,35.26191,-59.447414,,,,Cruise
162,0,35.2626,-59.455494,35.262356,-59.452656,96.0100608109298,Cruise
162,11,35.262356,-59.452656,35.262436,-59.451374,85.6292808751974,Cruise
162,16,35.262436,-59.451374,35.26235,-59.44932,92.9348615883577,Cruise
162,24,35.26235,-59.44932,35.2625,-59.44646,86.3239257074807,Cruise
162,40,35.2625,-59.44646,35.26239,-59.44295,92.1969999479372,Cruise
162,53,35.26239,-59.44295,35.262486,-59.44189,83.6704536059199,Cruise
162,57,35.262486,-59.44189,35.26256,-59.43494,89.2508906681556,Cruise
162,85,35.26256,-59.43494,,,,Cruise
174,0,35.26253,-59.455357,35.26251,-59.454746,92.2955204530256,Cruise
174,3,35.26251,-59.454746,35.262424,-59.453785,96.2543734172641,Cruise
174,7,35.262424,-59.453785,35.262486,-59.45302,84.3312817350683,Cruise
174,11,35.262486,-59.45302,35.26225,-59.45213,107.9912439694,Cruise
174,15,35.26225,-59.45213,35.26237,-59.451416,78.3688071683643,Cruise
174,19,35.26237,-59.451416,35.26237,-59.450634,89.9997742673683,Cruise
174,24,35.26237,-59.450634,35.262512,-59.449932,76.0857892209001,Cruise
174,27,35.262512,-59.449932,,,,Cruise
185,0,35.262634,-59.455433,35.26294,-59.453156,80.6529971249153,Cruise
185,9,35.26294,-59.453156,35.2633,-59.45221,65.0109612137496,Cruise
185,12,35.2633,-59.45221,35.26321,-59.45157,99.7718471505171,Cruise
185,14,35.26321,-59.45157,35.26265,-59.45018,116.261952600233,Cruise
185,19,35.26265,-59.45018,35.262573,-59.449024,94.6633705590432,Cruise
185,23,35.262573,-59.449024,35.262135,-59.447353,107.797197823169,Cruise
185,30,35.262135,-59.447353,35.26227,-59.446934,68.4658413626717,Cruise
185,32,35.26227,-59.446934,,,,Cruise
186,0,35.26256,-59.455433,35.262547,-59.45349,90.468921461199,Cruise
186,8,35.262547,-59.45349,35.262424,-59.451824,95.1661658767035,Cruise
186,14,35.262424,-59.451824,35.262493,-59.449963,87.3995283480937,Cruise
186,20,35.262493,-59.449963,35.262417,-59.447132,91.8822906807023,Cruise
186,32,35.262417,-59.447132,35.262547,-59.442898,87.8452724283424,Cruise
186,51,35.262547,-59.442898,35.262432,-59.440273,93.0704584188439,Cruise
186,61,35.262432,-59.440273,35.2626,-59.434757,87.8622075768834,Cruise
186,85,35.2626,-59.434757,,,,Cruise
188,0,35.262466,-59.455475,35.262936,-59.451252,82.236885584483,Cruise
188,11,35.262936,-59.451252,35.262035,-59.44926,118.983703300366,Cruise
188,17,35.262035,-59.44926,35.26148,-59.442577,95.8055123420756,Cruise
188,35,35.26148,-59.442577,35.262264,-59.4369,80.3985823800992,Cruise
188,52,35.262264,-59.4369,35.263153,-59.434002,69.4080159479573,Cruise
188,62,35.263153,-59.434002,35.261967,-59.427277,102.18599693212,Cruise
188,79,35.261967,-59.427277,35.262287,-59.424683,81.407850118906,Cruise
188,85,35.262287,-59.424683,,,,Cruise
196,0,35.262646,-59.455414,35.26303,-59.45273,80.0606969607102,Cruise
196,7,35.26303,-59.45273,35.26297,-59.448288,90.9464679760018,Cruise
196,15,35.26297,-59.448288,35.263958,-59.4395,82.157610689712,Cruise
196,39,35.263958,-59.4395,35.263638,-59.43343,93.6924781374332,Cruise
196,52,35.263638,-59.43343,35.264133,-59.430065,79.7860676830197,Cruise
196,58,35.264133,-59.430065,35.26364,-59.42796,106.004332744099,Cruise
196,62,35.26364,-59.42796,35.263325,-59.422703,94.1956679074835,Cruise
196,74,35.263325,-59.422703,,,,Cruise
206,0,35.262615,-59.455433,35.262573,-59.45281,91.1226934236664,Cruise
206,13,35.262573,-59.45281,35.262714,-59.451176,83.966756692287,Cruise
206,19,35.262714,-59.451176,35.262833,-59.447803,87.5249097097041,Cruise
206,36,35.262833,-59.447803,35.262905,-59.442554,89.0360414322685,Cruise
206,62,35.262905,-59.442554,35.26273,-59.44102,97.9532755371542,Cruise
206,70,35.26273,-59.44102,35.262814,-59.438828,87.3122924166453,Cruise
206,80,35.262814,-59.438828,35.262737,-59.435604,91.6745194151662,Cruise
206,98,35.262737,-59.435604,,,,Cruise
218,0,35.262547,-59.45537,35.26254,-59.454914,91.0769296265559,Cruise
218,3,35.26254,-59.454914,35.262783,-59.454422,58.8304675783734,Cruise
218,6,35.262783,-59.454422,35.26299,-59.45341,75.935892992964,Cruise
218,12,35.26299,-59.45341,35.262684,-59.451923,104.145090604189,Cruise
218,19,35.262684,-59.451923,35.26294,-59.45068,75.8429171948131,Cruise
218,25,35.26294,-59.45068,35.26288,-59.450016,96.3149028875372,Cruise
218,28,35.26288,-59.450016,35.263042,-59.44943,71.2949961607233,Cruise
218,32,35.263042,-59.44943,,,,Cruise
220,0,35.262604,-59.45545,35.262268,-59.451206,95.5369438209882,Cruise
220,14,35.262268,-59.451206,35.26379,-59.444866,73.6142482032487,Cruise
220,36,35.26379,-59.444866,35.263966,-59.439205,87.8177695064904,Cruise
220,52,35.263966,-59.439205,35.265038,-59.43277,78.4664022188583,Cruise
220,70,35.265038,-59.43277,35.264923,-59.430134,93.0577572702293,Cruise
220,77,35.264923,-59.430134,35.266167,-59.42824,51.1849548757196,Cruise
220,83,35.266167,-59.42824,35.266068,-59.42754,99.8269247650632,Cruise
220,85,35.266068,-59.42754,,,,Cruise
223,0,35.262604,-59.45545,35.26242,-59.453228,95.7903058028426,Cruise
223,10,35.26242,-59.453228,35.26249,-59.45242,83.9432521335395,Cruise
223,13,35.26249,-59.45242,35.262226,-59.45106,103.372767727814,Cruise
223,19,35.262226,-59.45106,35.262234,-59.450302,89.2592330762864,Cruise
223,22,35.262234,-59.450302,35.26125,-59.44412,101.029027813138,Cruise
223,50,35.26125,-59.44412,35.26147,-59.44254,80.322114318244,Cruise
223,58,35.26147,-59.44254,35.261333,-59.439423,93.080280321934,Cruise
223,74,35.261333,-59.439423,,,,Cruise
225,0,35.26265,-59.455395,35.26233,-59.454082,106.619130700659,Cruise
225,7,35.26233,-59.454082,35.26283,-59.452606,67.4671259379443,Cruise
225,15,35.26283,-59.452606,35.26223,-59.450455,108.860702022328,Cruise
225,27,35.26223,-59.450455,35.26241,-59.449657,74.5568922986018,Cruise
225,31,35.26241,-59.449657,35.262012,-59.448475,112.410021184374,Cruise
225,37,35.262012,-59.448475,35.2623,-59.447865,59.9622810425249,Cruise
225,40,35.2623,-59.447865,35.262314,-59.446453,89.3038810535874,Cruise
225,47,35.262314,-59.446453,,,,Cruise
231,0,35.262608,-59.455463,35.262573,-59.451477,90.6149797785903,Cruise
231,12,35.262573,-59.451477,35.26267,-59.449123,87.110265731068,Cruise
231,18,35.26267,-59.449123,35.2625,-59.444347,92.4947577305907,Cruise
231,29,35.2625,-59.444347,35.2625,-59.43994,89.9987278680094,Cruise
