Trajectory_ID,Order,Latitude,Longitude,Latitude_2,Longitude_2,Bearing,Type
19,0,35.262646,-59.455395,35.26244,-59.454437,104.753713636032,Fishing
19,3,35.26244,-59.454437,35.26328,-59.451843,68.3662439309354,Fishing
19,14,35.26328,-59.451843,35.263096,-59.44679,92.5520813914217,Fishing
19,35,35.263096,-59.44679,35.263615,-59.44595,52.8846837788866,Fishing
19,40,35.263615,-59.44595,35.26347,-59.442554,92.9924465052762,Fishing
19,56,35.26347,-59.442554,35.262405,-59.44041,121.314157987811,Fishing
19,64,35.262405,-59.44041,35.262505,-59.437984,87.1092948934133,Fishing
19,74,35.262505,-59.437984,,,,Fishing
21,0,35.26251,-59.455395,35.262554,-59.45418,87.4601377919707,Fishing
21,5,35.262554,-59.45418,35.262466,-59.453663,101.77522557827,Fishing
21,8,35.262466,-59.453663,35.262516,-59.45309,83.8998569426734,Fishing
21,11,35.262516,-59.45309,35.262432,-59.4527,104.777046671646,Fishing
21,14,35.262432,-59.4527,35.262547,-59.452282,71.3789731425051,Fishing
21,17,35.262547,-59.452282,35.262695,-59.451447,77.7522482373987,Fishing
21,21,35.262695,-59.451447,35.26263,-59.450367,94.2153321809507,Fishing
21,27,35.26263,-59.450367,,,,Fishing
25,0,35.262604,-59.455433,35.261967,-59.44902,96.9341067910948,Fishing
25,14,35.261967,-59.44902,35.2637,-59.444668,64.0005531205961,Fishing
25,23,35.2637,-59.444668,35.263306,-59.43985,95.7179646028326,Fishing
25,34,35.263306,-59.43985,35.264935,-59.432724,74.357017902885,Fishing
25,51,35.264935,-59.432724,35.264046,-59.427624,102.04969407227,Fishing
25,61,35.264046,-59.427624,35.264355,-59.420002,87.1553010234729,Fishing
25,81,35.264355,-59.420002,35.265285,-59.417995,60.4235107989183,Fishing
25,85,35.265285,-59.417995,,,,Fishing
31,0,35.262474,-59.45537,35.261692,-59.451214,102.975697018736,Fishing
31,13,35.261692,-59.451214,35.26202,-59.447453,83.9023966539029,Fishing
31,21,35.26202,-59.447453,35.261307,-59.44279,100.605266119373,Fishing
31,31,35.261307,-59.44279,35.261852,-59.44069,72.367085187655,Fishing
31,35,35.261852,-59.44069,35.26076,-59.421665,94.0155251344138,Fishing
31,78,35.26076,-59.421665,35.261677,-59.417805,73.7768034812847,Fishing
31,90,35.261677,-59.417805,35.261723,-59.413647,89.222551543156,Fishing
31,98,35.261723,-59.413647,,,,Fishing
41,0,35.26267,-59.455383,35.262836,-59.454254,79.7915937889987,Fishing
41,3,35.262836,-59.454254,35.263752,-59.451935,64.1832565209932,Fishing
41,8,35.263752,-59.451935,35.26495,-59.449596,57.8994703188364,Fishing
41,14,35.26495,-59.449596,35.26479,-59.447765,96.1082235324844,Fishing
41,19,35.26479,-59.447765,35.265667,-59.443314,76.4315277479756,Fishing
41,31,35.265667,-59.443314,35.266026,-59.438538,84.7386457030033,Fishing
41,42,35.266026,-59.438538,35.265194,-59.436234,113.857974180097,Fishing
41,47,35.265194,-59.436234,,,,Fishing
46,0,35.262627,-59.455357,35.262455,-59.45454,104.457736054167,Fishing
46,3,35.262455,-59.45454,35.26237,-59.453426,95.3383352270733,Fishing
46,8,35.26237,-59.453426,35.26244,-59.452633,83.8295737524533,Fishing
46,11,35.26244,-59.452633,35.26212,-59.451496,109.01803511851,Fishing
46,17,35.26212,-59.451496,35.262028,-59.450474,96.2910343916396,Fishing
46,21,35.262028,-59.450474,35.262142,-59.449017,84.52592748709,Fishing
46,27,35.262142,-59.449017,35.261993,-59.448044,100.621891943399,Fishing
46,32,35.261993,-59.448044,,,,Fishing
50,0,35.26248,-59.45523,35.26251,-59.454365,87.5675335529729,Fishing
50,3,35.26251,-59.454365,35.262897,-59.453053,70.1371201463978,Fishing
50,6,35.262897,-59.453053,35.263294,-59.451412,73.4953662964344,Fishing
50,10,35.263294,-59.451412,35.263554,-59.449543,80.3305639350095,Fishing
50,14,35.263554,-59.449543,35.263634,-59.447662,87.0176957328219,Fishing
50,19,35.263634,-59.447662,35.263798,-59.447083,70.8680499829514,Fishing
50,21,35.263798,-59.447083,35.263638,-59.445114,95.6828708531564,Fishing
50,27,35.263638,-59.445114,,,,Fishing
73,0,35.26257,-59.455322,35.262928,-59.452423,81.3988297189404,Fishing
73,9,35.262928,-59.452423,35.262215,-59.45,109.817925343747,Fishing
73,17,35.262215,-59.45,35.262863,-59.44347,83.0687174226966,Fishing
73,41,35.262863,-59.44347,35.26238,-59.440525,101.35656900325,Fishing
73,50,35.26238,-59.440525,35.262787,-59.436115,83.5499836432597,Fishing
73,67,35.262787,-59.436115,35.262264,-59.432873,101.175143695867,Fishing
73,78,35.262264,-59.432873,35.262653,-59.431103,74.9347454685125,Fishing
73,85,35.262653,-59.431103,,,,Fishing
74,0,35.262577,-59.455364,35.26259,-59.454136,89.2568329704691,Fishing
74,4,35.26259,-59.454136,35.262573,-59.453358,91.5327122284846,Fishing
74,8,35.262573,-59.453358,35.262577,-59.4528,89.4968329208716,Fishing
74,12,35.262577,-59.4528,35.262592,-59.452118,88.4568225330332,Fishing
74,16,35.262592,-59.452118,35.2626,-59.451,89.4975709246044,Fishing
74,20,35.2626,-59.451,35.2626,-59.450283,89.999793029159,Fishing
74,24,35.2626,-59.450283,35.262608,-59.44876,89.6309710159572,Fishing
74,32,35.262608,-59.44876,,,,Fishing
75,0,35.262585,-59.455387,35.262775,-59.451626,86.4584834471944,Fishing
75,13,35.262775,-59.451626,35.26265,-59.448658,92.9518524915705,Fishing
75,22,35.26265,-59.448658,35.262756,-59.445606,87.5634468139064,Fishing
75,35,35.262756,-59.445606,35.262573,-59.43703,91.494540594572,Fishing
75,61,35.262573,-59.43703,35.262676,-59.435333,85.748264757224,Fishing
75,67,35.262676,-59.435333,35.26249,-59.43274,95.0198496426315,Fishing
75,78,35.26249,-59.43274,35.262535,-59.426586,89.4851240506538,Fishing
75,98,35.262535,-59.426586,,,,Fishing
92,0,35.262554,-59.455444,35.262375,-59.45419,99.9158694974191,Fishing
92,4,35.262375,-59.45419,35.262497,-59.452923,83.2738988682125,Fishing
92,10,35.262497,-59.452923,35.262253,-59.45163,103.012993665428,Fishing
92,15,35.262253,-59.45163,35.26233,-59.450516,85.1609821142563,Fishing
92,20,35.26233,-59.450516,35.262207,-59.44972,100.716026014863,Fishing
92,24,35.262207,-59.44972,35.262222,-59.44916,88.1209363898762,Fishing
92,28,35.262222,-59.44916,35.26231,-59.44818,83.7238787197545,Fishing
92,32,35.26231,-59.44818,,,,Fishing
111,0,35.262543,-59.4554,35.26263,-59.4532,87.226581545401,Fishing
111,6,35.26263,-59.4532,35.26254,-59.4487,91.4018434335447,Fishing
