Trajectory_ID,Order,Latitude,Longitude,Latitude_2,Longitude_2,Bearing,Type
1,0,35.262608,-59.455456,35.2626,-59.455273,93.0646130788794,Tanker
1,1,35.2626,-59.455273,35.26259,-59.455067,93.40230255976587,Tanker
1,2,35.26259,-59.455067,35.262585,-59.45485,91.61635519259045,Tanker
1,3,35.262585,-59.45485,35.262604,-59.454678,82.29526431360034,Tanker
1,4,35.262604,-59.454678,35.262623,-59.45453,81.06464482759935,Tanker
1,5,35.262623,-59.45453,35.262638,-59.45438,83.01760950213418,Tanker
1,6,35.262638,-59.45438,35.262646,-59.45419,87.04798310303318,Tanker
1,7,35.262646,-59.45419,,,,Tanker
4,0,35.262688,-59.455875,35.262848,-59.45633,293.30026939575987,Tanker
4,3,35.262848,-59.45633,35.26154,-59.457047,204.11288001904808,Tanker
4,35,35.26154,-59.457047,35.262035,-59.456585,37.31045514051641,Tanker
4,41,35.262035,-59.456585,35.26117,-59.457184,209.48535972380222,Tanker
4,49,35.26117,-59.457184,35.261265,-59.458057,277.5914265913891,Tanker
4,62,35.261265,-59.458057,35.26267,-59.457867,6.300974274615214,Tanker
4,79,35.26267,-59.457867,35.262222,-59.457718,164.80686472770606,Tanker
4,85,35.262222,-59.457718,,,,Tanker
5,0,35.2625,-59.45541,35.26289,-59.45247,80.77134397930183,Tanker
5,14,35.26289,-59.45247,35.262753,-59.451145,97.21665792017097,Tanker
5,21,35.262753,-59.451145,35.263554,-59.448193,71.61652047428811,Tanker
5,37,35.263554,-59.448193,35.2635,-59.445724,91.53366565546298,Tanker
5,52,35.2635,-59.445724,35.26419,-59.44415,61.76854260510265,Tanker
5,60,35.26419,-59.44415,35.26443,-59.440907,84.82005005522456,Tanker
5,78,35.26443,-59.440907,35.26421,-59.43961,101.73553510089823,Tanker
5,85,35.26421,-59.43961,,,,Tanker
16,0,35.262726,-59.45561,35.262074,-59.455967,204.08858684610814,Tanker
16,15,35.262074,-59.455967,35.26225,-59.45689,283.1450324089619,Tanker
16,21,35.26225,-59.45689,35.262318,-59.456226,82.85096267107212,Tanker
