Trajectory_ID,Order,Latitude,Longitude,Latitude_2,Longitude_2,Bearing,Type
1,0,35.262615,-59.455578,35.262638,-59.455524,62.4516715934474,Tanker
1,1,35.262638,-59.455524,35.262665,-59.455463,61.5383678112204,Tanker
1,2,35.262665,-59.455463,35.262695,-59.455402,58.9385509380859,Tanker
1,3,35.262695,-59.455402,35.26273,-59.455364,41.5569886250479,Tanker
1,4,35.26273,-59.455364,35.26276,-59.455334,39.2320815513952,Tanker
1,5,35.26276,-59.455334,35.262787,-59.45529,53.0739169885252,Tanker
1,6,35.262787,-59.45529,35.26282,-59.455242,49.9027544879744,Tanker
1,7,35.26282,-59.455242,,,,Tanker
4,0,35.26263,-59.45555,35.26277,-59.45467,78.9742742395477,Tanker
4,11,35.26277,-59.45467,35.262867,-59.453876,81.4903230357427,Tanker
4,23,35.262867,-59.453876,35.26296,-59.45296,82.9117242088149,Tanker
4,35,35.26296,-59.45296,35.26306,-59.452057,82.2759369905115,Tanker
4,47,35.26306,-59.452057,35.26314,-59.451492,80.1618725589196,Tanker
4,56,35.26314,-59.451492,35.263245,-59.450848,78.7073075678054,Tanker
4,66,35.263245,-59.450848,35.263435,-59.44972,78.3434702798781,Tanker
4,85,35.263435,-59.44972,,,,Tanker
5,0,35.262592,-59.455547,35.262905,-59.45459,68.1705842157706,Tanker
5,13,35.262905,-59.45459,35.263187,-59.45368,69.2164796335134,Tanker
5,26,35.263187,-59.45368,35.26347,-59.45286,67.0869158479923,Tanker
5,39,35.26347,-59.45286,35.263687,-59.452114,70.3910382887255,Tanker
5,52,35.263687,-59.452114,35.263973,-59.451492,60.614111643373,Tanker
5,61,35.263973,-59.451492,35.264164,-59.450806,71.1704748395171,Tanker
5,73,35.264164,-59.450806,35.264393,-59.449963,71.5974670714411,Tanker
5,85,35.264393,-59.449963,,,,Tanker
16,0,35.262596,-59.455555,35.262665,-59.454926,82.3480021306429,Tanker
16,9,35.262665,-59.454926,35.26276,-59.454285,79.7120234310847,Tanker
16,18,35.26276,-59.454285,35.26288,-59.453594,77.9926644510172,Tanker
16,27,35.26288,-59.453594,35.262985,-59.452866,79.9822458621143,Tanker
16,37,35.262985,-59.452866,35.26321,-59.45163,77.4312377308967,Tanker
16,55,35.26321,-59.45163,35.263306,-59.45107,78.142620223988,Tanker
16,64,35.263306,-59.45107,35.263424,-59.450436,77.1588492011487,Tanker
16,74,35.263424,-59.450436,,,,Tanker
20,0,35.262604,-59.45564,35.262615,-59.45554,82.3273372402685,Tanker
20,3,35.262615,-59.45554,35.26255,-59.455395,118.767242547128,Tanker
20,6,35.26255,-59.455395,35.26255,-59.455505,270.000031752866,Tanker
20,9,35.26255,-59.455505,35.262604,-59.455444,42.687165935683,Tanker
20,12,35.262604,-59.455444,35.262676,-59.455456,352.250471788746,Tanker
20,15,35.262676,-59.455456,35.262726,-59.455338,62.5729609935184,Tanker
20,18,35.262726,-59.455338,35.262905,-59.455273,16.5150151811423,Tanker
20,22,35.262905,-59.455273,,,,Tanker
28,0,35.2626,-59.455524,35.26268,-59.454876,81.4018280956694,Tanker
28,9,35.26268,-59.454876,35.262745,-59.45427,82.516056566173,Tanker
28,18,35.262745,-59.45427,35.26285,-59.453552,79.8456290131606,Tanker
28,27,35.26285,-59.453552,35.262955,-59.45288,79.1664915960367,Tanker
28,37,35.262955,-59.45288,35.263126,-59.45172,79.7656544386982,Tanker
28,55,35.263126,-59.45172,35.263226,-59.451126,78.3496747355547,Tanker
28,64,35.263226,-59.451126,35.263325,-59.450424,80.2004614884492,Tanker
28,74,35.263325,-59.450424,,,,Tanker
32,0,35.262604,-59.455578,35.2627,-59.454906,80.0757953169116,Tanker
32,9,35.2627,-59.454906,35.26276,-59.45429,83.197104479518,Tanker
32,18,35.26276,-59.45429,35.262836,-59.4537,81.0346991183341,Tanker
32,27,35.262836,-59.4537,35.26294,-59.452923,80.6902623032749,Tanker
32,37,35.26294,-59.452923,35.26311,-59.451633,80.8312805586446,Tanker
32,55,35.26311,-59.451633,35.26318,-59.45097,82.6319219721837,Tanker
32,64,35.26318,-59.45097,35.263252,-59.450317,82.3091789838212,Tanker
32,74,35.263252,-59.450317,,,,Tanker
42,0,35.262623,-59.455555,35.262722,-59.455257,67.859995459574,Tanker
42,4,35.262722,-59.455257,35.262768,-59.45506,74.0407254761639,Tanker
42,8,35.262768,-59.45506,35.262836,-59.454758,74.5829218241616,Tanker
42,12,35.262836,-59.454758,35.2629,-59.454563,68.1017896361893,Tanker
42,16,35.2629,-59.454563,35.26298,-59.45433,67.1928998567477,Tanker
42,20,35.26298,-59.45433,35.26305,-59.454136,66.1587931125044,Tanker
42,24,35.26305,-59.454136,35.26321,-59.453663,67.496439357252,Tanker
42,32,35.26321,-59.453663,,,,Tanker
44,0,35.262577,-59.455643,35.262638,-59.455387,73.7312386324654,Tanker
44,4,35.262638,-59.455387,35.26263,-59.455296,96.1451969142452,Tanker
44,9,35.26263,-59.455296,35.262684,-59.455463,291.60444698945,Tanker
44,13,35.262684,-59.455463,35.262802,-59.455334,41.7529821841945,Tanker
44,17,35.262802,-59.455334,35.26278,-59.45522,103.297776309477,Tanker
44,20,35.26278,-59.45522,35.262905,-59.45525,348.912659009801,Tanker
44,24,35.262905,-59.45525,35.262924,-59.45515,76.9005146826,Tanker
44,27,35.262924,-59.45515,,,,Tanker
47,0,35.26262,-59.455624,35.262802,-59.455566,14.5853402090278,Tanker
47,7,35.262802,-59.455566,35.262913,-59.455708,313.751869054761,Tanker
47,14,35.262913,-59.455708,35.263138,-59.455486,38.8556718655126,Tanker
47,23,35.263138,-59.455486,35.263264,-59.45569,307.105704675479,Tanker
47,28,35.263264,-59.45569,35.26324,-59.455536,100.805840333321,Tanker
47,31,35.26324,-59.455536,35.263405,-59.45543,27.6789614908613,Tanker
47,39,35.263405,-59.45543,35.263393,-59.455627,265.733532721117,Tanker
47,47,35.263393,-59.455627,,,,Tanker
48,0,35.26263,-59.45561,35.263092,-59.454624,60.1501222085766,Tanker
48,18,35.263092,-59.454624,35.263622,-59.453968,45.3024405337372,Tanker
48,31,35.263622,-59.453968,35.263866,-59.453506,57.1038741675208,Tanker
48,40,35.263866,-59.453506,35.26402,-59.452923,72.0726215864725,Tanker
48,49,35.26402,-59.452923,35.264214,-59.452305,68.969789898656,Tanker
48,59,35.264214,-59.452305,35.264397,-59.452103,42.0273430327674,Tanker
48,63,35.264397,-59.452103,35.264614,-59.451412,68.9622327109687,Tanker
48,74,35.264614,-59.451412,,,,Tanker
49,0,35.262653,-59.455627,35.263424,-59.454163,57.178043605208,Tanker
49,17,35.263424,-59.454163,35.265278,-59.453632,13.1619984898352,Tanker
49,38,35.265278,-59.453632,35.26559,-59.45453,293.051434028879,Tanker
49,45,35.26559,-59.45453,35.26511,-59.452892,109.742784939644,Tanker
49,57,35.26511,-59.452892,35.265575,-59.45367,306.20517046341,Tanker
49,66,35.265575,-59.45367,35.266277,-59.452305,57.7935703471509,Tanker
49,86,35.266277,-59.452305,35.26682,-59.453175,307.395635755598,Tanker
49,98,35.26682,-59.453175,,,,Tanker
60,0,35.262585,-59.455524,35.262604,-59.454803,88.1512629301665,Tanker
60,10,35.262604,-59.454803,35.262634,-59.454067,87.1419217017043,Tanker
60,21,35.262634,-59.454067,35.26265,-59.453384,88.3564188381986,Tanker
60,31,35.26265,-59.453384,35.262672,-59.45265,87.8975076201968,Tanker
60,42,35.262672,-59.45265,35.262726,-59.45117,87.4409725953934,Tanker
60,63,35.262726,-59.45117,35.262756,-59.45042,87.1951742901196,Tanker
60,74,35.262756,-59.45042,35.262783,-59.449596,87.701692651147,Tanker
60,85,35.262783,-59.449596,,,,Tanker
77,0,35.26259,-59.455547,35.262615,-59.45492,87.2041464731624,Tanker
77,10,35.262615,-59.45492,35.262646,-59.454163,87.12859827624,Tanker
77,21,35.262646,-59.454163,35.26267,-59.45349,87.4990040806393,Tanker
77,31,35.26267,-59.45349,35.262695,-59.452682,87.829665403276,Tanker
77,42,35.262695,-59.452682,35.262753,-59.451267,87.1257258673197,Tanker
77,63,35.262753,-59.451267,35.26277,-59.450497,88.4509185822995,Tanker
77,74,35.26277,-59.450497,35.2628,-59.44984,86.7989743781417,Tanker
77,85,35.2628,-59.44984,,,,Tanker
82,0,35.262592,-59.455566,35.26262,-59.454807,87.412880482297,Tanker
82,12,35.26262,-59.454807,35.262646,-59.454132,87.2989171860371,Tanker
82,24,35.262646,-59.454132,35.262676,-59.453304,87.4589924086351,Tanker
82,36,35.262676,-59.453304,35.26271,-59.452347,87.5082730557872,Tanker
82,49,35.26271,-59.452347,35.26278,-59.45052,87.3128882069002,Tanker
82,73,35.26278,-59.45052,35.262814,-59.449585,87.4497302617033,Tanker
82,85,35.262814,-59.449585,35.262848,-59.44865,87.4497291928666,Tanker
82,98,35.262848,-59.44865,,,,Tanker
88,0,35.262623,-59.45558,35.262684,-59.455585,356.171054999299,Tanker
88,3,35.262684,-59.455585,35.262836,-59.45569,330.575354727126,Tanker
88,6,35.262836,-59.45569,35.26291,-59.455647,25.3824375028655,Tanker
88,8,35.26291,-59.455647,35.262928,-59.45573,284.874501812011,Tanker
88,10,35.262928,-59.45573,35.262936,-59.455822,276.078978870032,Tanker
88,12,35.262936,-59.455822,35.262936,-59.45576,89.9999821056713,Tanker
88,14,35.262936,-59.45576,35.262993,-59.455677,49.933621723895,Tanker
88,17,35.262993,-59.455677,,,,Tanker
