Trajectory_ID,Order,Latitude,Longitude,Latitude_2,Longitude_2,Bearing,Type
2,0,35.262524,-59.454803,35.262455,-59.454082,96.68469284894593,Cargo
2,1,35.262455,-59.454082,35.2624,-59.453373,95.4269551689431,Cargo
2,2,35.2624,-59.453373,35.262405,-59.452667,89.50284697316636,Cargo
2,3,35.262405,-59.452667,35.262432,-59.45209,86.71985590990363,Cargo
2,4,35.262432,-59.45209,35.262417,-59.45151,91.81399357822369,Cargo
2,5,35.262417,-59.45151,35.262386,-59.451015,94.3858168828416,Cargo
2,6,35.262386,-59.451015,35.262333,-59.45033,95.41292444752622,Cargo
2,7,35.262333,-59.45033,,,,Cargo
6,0,35.26251,-59.454884,35.262455,-59.45436,97.32495966348961,Cargo
6,1,35.262455,-59.45436,35.26244,-59.45407,93.62460901849846,Cargo
6,2,35.26244,-59.45407,35.262432,-59.453823,92.27148339170964,Cargo
6,3,35.262432,-59.453823,35.262436,-59.45349,89.15706955707947,Cargo
6,4,35.262436,-59.45349,35.26244,-59.453114,89.25343346667097,Cargo
6,5,35.26244,-59.453114,35.262424,-59.452747,93.05621875459303,Cargo
6,6,35.262424,-59.452747,35.2624,-59.45239,94.70665874343291,Cargo
6,7,35.2624,-59.45239,35.262352,-59.45193,97.28257959600109,Cargo
6,8,35.262352,-59.45193,35.262337,-59.451508,92.49253215059622,Cargo
6,9,35.262337,-59.451508,35.262302,-59.45102,95.01972565159105,Cargo
6,10,35.262302,-59.45102,35.2623,-59.450565,90.30830921027695,Cargo
6,11,35.2623,-59.450565,35.262314,-59.450047,88.10403160498993,Cargo
6,12,35.262314,-59.450047,35.262356,-59.449646,82.69022755502931,Cargo
6,13,35.262356,-59.449646,35.262417,-59.449154,81.36575293717044,Cargo
6,14,35.262417,-59.449154,35.262436,-59.448746,86.73565073993473,Cargo
6,15,35.262436,-59.448746,35.262478,-59.44814,85.14811538903882,Cargo
6,16,35.262478,-59.44814,35.262493,-59.447575,88.13754441393951,Cargo
6,17,35.262493,-59.447575,35.262535,-59.44685,85.94150739094493,Cargo
6,18,35.262535,-59.44685,35.26253,-59.44621,90.54801027631129,Cargo
6,19,35.26253,-59.44621,35.26252,-59.445652,91.25718359913765,Cargo
6,20,35.26252,-59.445652,35.262455,-59.445145,98.92328817458656,Cargo
6,21,35.262455,-59.445145,35.26242,-59.444706,95.57669546227788,Cargo
6,22,35.26242,-59.444706,35.26241,-59.444233,91.48306276511886,Cargo
6,23,35.26241,-59.444233,35.262432,-59.44399,83.67284367550417,Cargo
6,24,35.262432,-59.44399,35.262417,-59.443684,93.43554345866329,Cargo
6,25,35.262417,-59.443684,35.262413,-59.44333,90.79273988368539,Cargo
6,26,35.262413,-59.44333,35.2624,-59.442883,92.03977580218896,Cargo
6,27,35.2624,-59.442883,,,,Cargo
13,0,35.262478,-59.455044,35.26251,-59.45451,85.80236335463985,Cargo
13,1,35.26251,-59.45451,35.262577,-59.45409,78.9451646387393,Cargo
13,2,35.262577,-59.45409,35.26267,-59.45373,72.44327843056317,Cargo
13,3,35.26267,-59.45373,35.26273,-59.453445,75.54191865805063,Cargo
13,4,35.26273,-59.453445,35.26282,-59.4532,65.77707683996948,Cargo
13,5,35.26282,-59.4532,35.262787,-59.452908,97.88017101845412,Cargo
13,6,35.262787,-59.452908,35.262672,-59.452652,118.81806938049465,Cargo
13,7,35.262672,-59.452652,35.26268,-59.45226,88.56811906185214,Cargo
13,8,35.26268,-59.45226,35.2627,-59.451996,84.69909663206022,Cargo
13,9,35.2627,-59.451996,35.262787,-59.45171,69.56680385353206,Cargo
13,10,35.262787,-59.45171,35.262745,-59.451466,101.90428881828251,Cargo
13,11,35.262745,-59.451466,35.26292,-59.451153,55.598581061333334,Cargo
13,12,35.26292,-59.451153,35.263145,-59.450726,57.163840274160634,Cargo
13,13,35.263145,-59.450726,35.263504,-59.45032,42.71938386079739,Cargo
13,14,35.263504,-59.45032,35.263687,-59.449905,61.62804251442532,Cargo
13,15,35.263687,-59.449905,35.26386,-59.449482,63.39374545147939,Cargo
13,16,35.26386,-59.449482,35.26386,-59.44897,89.99985220028202,Cargo
13,17,35.26386,-59.44897,35.263893,-59.448544,84.58021920370311,Cargo
13,18,35.263893,-59.448544,35.263885,-59.448147,91.41364935864624,Cargo
13,19,35.263885,-59.448147,35.263943,-59.447906,73.5770415262179,Cargo
13,20,35.263943,-59.447906,35.264168,-59.4476,47.995483897788574,Cargo
13,21,35.264168,-59.4476,35.264465,-59.447216,46.55123760603226,Cargo
13,22,35.264465,-59.447216,35.264725,-59.446857,48.42673907874223,Cargo
13,23,35.264725,-59.446857,35.2648,-59.44646,76.97226328460164,Cargo
13,24,35.2648,-59.44646,35.26486,-59.446064,79.48718081214076,Cargo
13,25,35.26486,-59.446064,35.264896,-59.445637,84.10453367380859,Cargo
13,26,35.264896,-59.445637,35.26488,-59.445286,93.19535723974957,Cargo
13,27,35.26488,-59.445286,35.26472,-59.44492,118.16494977127502,Cargo
13,28,35.26472,-59.44492,35.264576,-59.44458,117.41644485142297,Cargo
13,29,35.264576,-59.44458,35.26446,-59.444183,109.69016919996483,Cargo
13,30,35.26446,-59.444183,35.264362,-59.44394,116.2860851318784,Cargo
13,31,35.264362,-59.44394,35.264126,-59.44357,127.99639173647671,Cargo
13,32,35.264126,-59.44357,35.26378,-59.443222,140.6063532784779,Cargo
13,33,35.26378,-59.443222,35.26363,-59.442814,114.24049313668195,Cargo
13,34,35.26363,-59.442814,35.263615,-59.442425,92.70374177375186,Cargo
13,35,35.263615,-59.442425,35.263718,-59.441967,74.60063779943704,Cargo
13,36,35.263718,-59.441967,35.26372,-59.44144,89.73354188963987,Cargo
