Trajectory_ID,Order,Latitude,Longitude,Type
0,0,35.26257,-59.455414,Fishing
0,1,35.26256,-59.45519,Fishing
0,2,35.262527,-59.45486,Fishing
0,3,35.262516,-59.454464,Fishing
0,4,35.26251,-59.454067,Fishing
0,5,35.262527,-59.453644,Fishing
0,6,35.262524,-59.45331,Fishing
0,7,35.26253,-59.452972,Fishing
0,8,35.26253,-59.4527,Fishing
0,9,35.262524,-59.452343,Fishing
0,10,35.262543,-59.451843,Fishing
0,11,35.262573,-59.45139,Fishing
0,12,35.262638,-59.450928,Fishing
0,13,35.26269,-59.450512,Fishing
0,14,35.262737,-59.45015,Fishing
0,15,35.26279,-59.449753,Fishing
0,16,35.262806,-59.449482,Fishing
0,17,35.262825,-59.449203,Fishing
0,18,35.262768,-59.448833,Fishing
0,19,35.262707,-59.448223,Fishing
0,20,35.262638,-59.4474,Fishing
0,21,35.262608,-59.44675,Fishing
0,22,35.262592,-59.446365,Fishing
14,0,35.262474,-59.455444,Fishing
14,1,35.26234,-59.45514,Fishing
14,2,35.262173,-59.454693,Fishing
14,3,35.262043,-59.454197,Fishing
14,4,35.26195,-59.453827,Fishing
14,5,35.261898,-59.45355,Fishing
14,6,35.26182,-59.453335,Fishing
14,7,35.261677,-59.45305,Fishing
14,8,35.261547,-59.452805,Fishing
14,9,35.261402,-59.452557,Fishing
14,10,35.26135,-59.45238,Fishing
14,11,35.26128,-59.45219,Fishing
14,12,35.261303,-59.451996,Fishing
14,13,35.26132,-59.451733,Fishing
14,14,35.261387,-59.451427,Fishing
14,15,35.261448,-59.4512,Fishing
14,16,35.261547,-59.450928,Fishing
14,17,35.261597,-59.450695,Fishing
14,18,35.26163,-59.45045,Fishing
14,19,35.261723,-59.450245,Fishing
14,20,35.261887,-59.449947,Fishing
14,21,35.2621,-59.449524,Fishing
14,22,35.262302,-59.44911,Fishing
17,0,35.262615,-59.45531,Fishing
17,1,35.262623,-59.45502,Fishing
17,2,35.262638,-59.454697,Fishing
17,3,35.262665,-59.454357,Fishing
17,4,35.262695,-59.454,Fishing
17,5,35.262714,-59.453793,Fishing
17,6,35.262714,-59.453613,Fishing
17,7,35.2627,-59.45345,Fishing
18,0,35.26251,-59.455368,Fishing
18,1,35.262424,-59.45512,Fishing
18,2,35.262394,-59.454823,Fishing
18,3,35.262363,-59.454533,Fishing
18,4,35.262344,-59.454273,Fishing
19,0,35.262646,-59.455395,Fishing
19,1,35.262604,-59.455044,Fishing
19,2,35.26247,-59.454685,Fishing
19,3,35.26244,-59.454437,Fishing
19,4,35.26253,-59.454258,Fishing
19,5,35.26266,-59.45407,Fishing
19,6,35.262836,-59.453796,Fishing
19,7,35.26292,-59.453533,Fishing
19,8,35.263027,-59.453205,Fishing
19,9,35.263042,-59.452984,Fishing
19,10,35.263103,-59.452732,Fishing
19,11,35.26308,-59.452545,Fishing
19,12,35.263134,-59.452286,Fishing
19,13,35.26316,-59.45209,Fishing
19,14,35.26328,-59.451843,Fishing
19,15,35.26324,-59.451584,Fishing
19,16,35.263165,-59.451313,Fishing
19,17,35.26303,-59.451145,Fishing
19,18,35.263,-59.45106,Fishing
19,19,35.262913,-59.450943,Fishing
19,20,35.26291,-59.45077,Fishing
19,21,35.26292,-59.4505,Fishing
19,22,35.262985,-59.450275,Fishing
19,23,35.262966,-59.450047,Fishing
19,24,35.262928,-59.44981,Fishing
19,25,35.26292,-59.44952,Fishing
19,26,35.262928,-59.449127,Fishing
19,27,35.26297,-59.448826,Fishing
19,28,35.262997,-59.448486,Fishing
19,29,35.263073,-59.448288,Fishing
19,30,35.263172,-59.448044,Fishing
19,31,35.263214,-59.44782,Fishing
19,32,35.26328,-59.447556,Fishing
19,33,35.263195,-59.44722,Fishing
19,34,35.263187,-59.44698,Fishing
19,35,35.263096,-59.44679,Fishing
19,36,35.263184,-59.446636,Fishing
19,37,35.263317,-59.446423,Fishing
19,38,35.263485,-59.446194,Fishing
19,39,35.263584,-59.446045,Fishing
19,40,35.263615,-59.44595,Fishing
19,41,35.263515,-59.44579,Fishing
19,42,35.263397,-59.445614,Fishing
19,43,35.263256,-59.445404,Fishing
19,44,35.26323,-59.445263,Fishing
19,45,35.263195,-59.445087,Fishing
19,46,35.263206,-59.44496,Fishing
19,47,35.26323,-59.444782,Fishing
19,48,35.26328,-59.444653,Fishing
19,49,35.26323,-59.444427,Fishing
19,50,35.263187,-59.444256,Fishing
19,51,35.263195,-59.444035,Fishing
19,52,35.263287,-59.443768,Fishing
19,53,35.263367,-59.44341,Fishing
19,54,35.263428,-59.443035,Fishing
19,55,35.26346,-59.442764,Fishing
19,56,35.26347,-59.442554,Fishing
19,57,35.263416,-59.442307,Fishing
19,58,35.263294,-59.441975,Fishing
19,59,35.26315,-59.441586,Fishing
19,60,35.26296,-59.441254,Fishing
19,61,35.262768,-59.44098,Fishing
19,62,35.26256,-59.440765,Fishing
19,63,35.262432,-59.4406,Fishing
19,64,35.262405,-59.44041,Fishing
19,65,35.262543,-59.44018,Fishing
19,66,35.262665,-59.439926,Fishing
19,67,35.262737,-59.439655,Fishing
19,68,35.26269,-59.43945,Fishing
19,69,35.262646,-59.439175,Fishing
19,70,35.26262,-59.439007,Fishing
19,71,35.262615,-59.438797,Fishing
19,72,35.262554,-59.438572,Fishing
19,73,35.262524,-59.438293,Fishing
19,74,35.262505,-59.437984,Fishing
21,0,35.26251,-59.455395,Fishing
21,1,35.262486,-59.455124,Fishing
21,2,35.262486,-59.454838,Fishing
21,3,35.262535,-59.45456,Fishing
21,4,35.26254,-59.454365,Fishing
21,5,35.262554,-59.45418,Fishing
21,6,35.262543,-59.45406,Fishing
21,7,35.2625,-59.45386,Fishing
21,8,35.262466,-59.453663,Fishing
21,9,35.262463,-59.4534,Fishing
21,10,35.262493,-59.453217,Fishing
21,11,35.262516,-59.45309,Fishing
21,12,35.262486,-59.45296,Fishing
21,13,35.262455,-59.45283,Fishing
21,14,35.262432,-59.4527,Fishing
21,15,35.26244,-59.452656,Fishing
21,16,35.262493,-59.45251,Fishing
21,17,35.262547,-59.452282,Fishing
21,18,35.26261,-59.452007,Fishing
21,19,35.26263,-59.4518,Fishing
21,20,35.26266,-59.45165,Fishing
21,21,35.262695,-59.451447,Fishing
21,22,35.262695,-59.451202,Fishing
21,23,35.262676,-59.450974,Fishing
21,24,35.26266,-59.45082,Fishing
21,25,35.262657,-59.450733,Fishing
21,26,35.262653,-59.450592,Fishing
21,27,35.26263,-59.450367,Fishing
22,0,35.262585,-59.455368,Fishing
22,1,35.262573,-59.45508,Fishing
22,2,35.262547,-59.454693,Fishing
22,3,35.26254,-59.454304,Fishing
22,4,35.262543,-59.45386,Fishing
22,5,35.262547,-59.45345,Fishing
22,6,35.262547,-59.45314,Fishing
22,7,35.262547,-59.45287,Fishing
25,0,35.262604,-59.455433,Fishing
25,1,35.262478,-59.455067,Fishing
25,2,35.262283,-59.45458,Fishing
25,3,35.26213,-59.454113,Fishing
25,4,35.262115,-59.4538,Fishing
25,5,35.262264,-59.453472,Fishing
25,6,35.262268,-59.45303,Fishing
25,7,35.26231,-59.45251,Fishing
25,8,35.262318,-59.451935,Fishing
25,9,35.262413,-59.451294,Fishing
25,10,35.262466,-59.450703,Fishing
25,11,35.262386,-59.4502,Fishing
25,12,35.262245,-59.449932,Fishing
25,13,35.262054,-59.44949,Fishing
25,14,35.261967,-59.44902,Fishing
25,15,35.26205,-59.44847,Fishing
25,16,35.262325,-59.447964,Fishing
25,17,35.262608,-59.44751,Fishing
25,18,35.26289,-59.44696,Fishing
25,19,35.26309,-59.44644,Fishing
25,20,35.26322,-59.445984,Fishing
25,21,35.263355,-59.445614,Fishing
25,22,35.263515,-59.44516,Fishing
25,23,35.2637,-59.444668,Fishing
25,24,35.263626,-59.444126,Fishing
25,25,35.263477,-59.443542,Fishing
25,26,35.263317,-59.442966,Fishing
25,27,35.26344,-59.442364,Fishing
25,28,35.26358,-59.441975,Fishing
25,29,35.26372,-59.441616,Fishing
25,30,35.263752,-59.441452,Fishing
25,31,35.26364,-59.441128,Fishing
25,32,35.263515,-59.440674,Fishing
25,33,35.263317,-59.440216,Fishing
25,34,35.263306,-59.43985,Fishing
25,35,35.263428,-59.439545,Fishing
25,36,35.26357,-59.43924,Fishing
25,37,35.263794,-59.438847,Fishing
25,38,35.26384,-59.438366,Fishing
25,39,35.26399,-59.4378,Fishing
25,40,35.264103,-59.437183,Fishing
25,41,35.264355,-59.43668,Fishing
25,42,35.264328,-59.4361,Fishing
25,43,35.264324,-59.435642,Fishing
25,44,35.264324,-59.43512,Fishing
25,45,35.264496,-59.434742,Fishing
25,46,35.264664,-59.43428,Fishing
25,47,35.264725,-59.433872,Fishing
25,48,35.26483,-59.43347,Fishing
25,49,35.264816,-59.43329,Fishing
25,50,35.264885,-59.433064,Fishing
25,51,35.264935,-59.432724,Fishing
25,52,35.264877,-59.432224,Fishing
25,53,35.264668,-59.431644,Fishing
25,54,35.264435,-59.431213,Fishing
25,55,35.2643,-59.430714,Fishing
25,56,35.264256,-59.43041,Fishing
25,57,35.264263,-59.42986,Fishing
