Trajectory_ID,Order,Latitude,Longitude,Type
3,0,35.26257,-59.455128,Tanker
3,1,35.262554,-59.454754,Tanker
3,2,35.262543,-59.45448,Tanker
3,3,35.262554,-59.454075,Tanker
3,4,35.262554,-59.453625,Tanker
3,5,35.262554,-59.453217,Tanker
3,6,35.262543,-59.452927,Tanker
3,7,35.262547,-59.45242,Tanker
3,8,35.262543,-59.451885,Tanker
3,9,35.262547,-59.45129,Tanker
3,10,35.262547,-59.450764,Tanker
3,11,35.262554,-59.45024,Tanker
3,12,35.262543,-59.449703,Tanker
3,13,35.26253,-59.44928,Tanker
3,14,35.262505,-59.448742,Tanker
3,15,35.2625,-59.44823,Tanker
3,16,35.262512,-59.447674,Tanker
3,17,35.262535,-59.447266,Tanker
8,0,35.262604,-59.45509,Tanker
8,1,35.262615,-59.45462,Tanker
8,2,35.26262,-59.454227,Tanker
8,3,35.262634,-59.4537,Tanker
8,4,35.262646,-59.45305,Tanker
8,5,35.262676,-59.452213,Tanker
8,6,35.262684,-59.45162,Tanker
8,7,35.262695,-59.45105,Tanker
8,8,35.262688,-59.45049,Tanker
8,9,35.262676,-59.44992,Tanker
8,10,35.262676,-59.449535,Tanker
8,11,35.262676,-59.449215,Tanker
8,12,35.26267,-59.448772,Tanker
8,13,35.262676,-59.44811,Tanker
8,14,35.262684,-59.44762,Tanker
8,15,35.262707,-59.447063,Tanker
8,16,35.262707,-59.4467,Tanker
8,17,35.262714,-59.446323,Tanker
9,0,35.262592,-59.455097,Tanker
9,1,35.262604,-59.45474,Tanker
9,2,35.262604,-59.45439,Tanker
9,3,35.2626,-59.453945,Tanker
9,4,35.262585,-59.453335,Tanker
9,5,35.26257,-59.452908,Tanker
9,6,35.26257,-59.452465,Tanker
9,7,35.262577,-59.452133,Tanker
9,8,35.262585,-59.451702,Tanker
9,9,35.26257,-59.451244,Tanker
9,10,35.262543,-59.450756,Tanker
9,11,35.26253,-59.450237,Tanker
9,12,35.26253,-59.449757,Tanker
9,13,35.26253,-59.4493,Tanker
9,14,35.26254,-59.44878,Tanker
9,15,35.262554,-59.4484,Tanker
9,16,35.262554,-59.447964,Tanker
9,17,35.262543,-59.447582,Tanker
10,0,35.262547,-59.45532,Tanker
10,1,35.262596,-59.454975,Tanker
10,2,35.26266,-59.45448,Tanker
10,3,35.26273,-59.454098,Tanker
10,4,35.262836,-59.4536,Tanker
10,5,35.26297,-59.453144,Tanker
10,6,35.263077,-59.45273,Tanker
10,7,35.26303,-59.452374,Tanker
10,8,35.262905,-59.451965,Tanker
10,9,35.262756,-59.45131,Tanker
10,10,35.26263,-59.450634,Tanker
10,11,35.26263,-59.450085,Tanker
10,12,35.26262,-59.449535,Tanker
10,13,35.26261,-59.448944,Tanker
10,14,35.262547,-59.448475,Tanker
10,15,35.262497,-59.447998,Tanker
10,16,35.262486,-59.447636,Tanker
10,17,35.2625,-59.447113,Tanker
10,18,35.262543,-59.446808,Tanker
10,19,35.262554,-59.446552,Tanker
10,20,35.262547,-59.44638,Tanker
10,21,35.262573,-59.446014,Tanker
10,22,35.262585,-59.445583,Tanker
12,0,35.262547,-59.455215,Tanker
12,1,35.26259,-59.454784,Tanker
12,2,35.2626,-59.454426,Tanker
12,3,35.262604,-59.454147,Tanker
12,4,35.262478,-59.45387,Tanker
12,5,35.262367,-59.45358,Tanker
12,6,35.26233,-59.453125,Tanker
12,7,35.26233,-59.452778,Tanker
12,8,35.2624,-59.452312,Tanker
12,9,35.262405,-59.45195,Tanker
12,10,35.26247,-59.451443,Tanker
12,11,35.26259,-59.450977,Tanker
12,12,35.262695,-59.450542,Tanker
12,13,35.262836,-59.450214,Tanker
12,14,35.262856,-59.44981,Tanker
12,15,35.26286,-59.44932,Tanker
12,16,35.262836,-59.448925,Tanker
12,17,35.262787,-59.448666,Tanker
12,18,35.262695,-59.44842,Tanker
12,19,35.26264,-59.448048,Tanker
12,20,35.26254,-59.44766,Tanker
12,21,35.26256,-59.44728,Tanker
12,22,35.2625,-59.447002,Tanker
12,23,35.262634,-59.44673,Tanker
12,24,35.262753,-59.446445,Tanker
12,25,35.262882,-59.446182,Tanker
12,26,35.263054,-59.44588,Tanker
12,27,35.263165,-59.445515,Tanker
12,28,35.26337,-59.44507,Tanker
12,29,35.263348,-59.44461,Tanker
12,30,35.26334,-59.444195,Tanker
12,31,35.263172,-59.443707,Tanker
12,32,35.26311,-59.443253,Tanker
15,0,35.262783,-59.455273,Tanker
15,1,35.26297,-59.454895,Tanker
15,2,35.263165,-59.454502,Tanker
15,3,35.263382,-59.454037,Tanker
15,4,35.26353,-59.453735,Tanker
15,5,35.263542,-59.45354,Tanker
15,6,35.26341,-59.453358,Tanker
15,7,35.263412,-59.453014,Tanker
15,8,35.263477,-59.452576,Tanker
15,9,35.263668,-59.452175,Tanker
15,10,35.26372,-59.451797,Tanker
15,11,35.263676,-59.451466,Tanker
15,12,35.2635,-59.451046,Tanker
15,13,35.26334,-59.45075,Tanker
15,14,35.263237,-59.450367,Tanker
15,15,35.26317,-59.450027,Tanker
15,16,35.263092,-59.449482,Tanker
15,17,35.262978,-59.449055,Tanker
15,18,35.26294,-59.448597,Tanker
15,19,35.262836,-59.448162,Tanker
15,20,35.26279,-59.447765,Tanker
15,21,35.26267,-59.447296,Tanker
15,22,35.262608,-59.44688,Tanker
15,23,35.26252,-59.44647,Tanker
15,24,35.262444,-59.446217,Tanker
15,25,35.262356,-59.44597,Tanker
15,26,35.262283,-59.445705,Tanker
15,27,35.26227,-59.44536,Tanker
15,28,35.262268,-59.4451,Tanker
15,29,35.262302,-59.44472,Tanker
15,30,35.262333,-59.44447,Tanker
15,31,35.26247,-59.44411,Tanker
15,32,35.26242,-59.443737,Tanker
15,33,35.262356,-59.443146,Tanker
15,34,35.262104,-59.442593,Tanker
15,35,35.26199,-59.442173,Tanker
15,36,35.261993,-59.441864,Tanker
15,37,35.262085,-59.441692,Tanker
15,38,35.262196,-59.44154,Tanker
15,39,35.262203,-59.441425,Tanker
15,40,35.262253,-59.441208,Tanker
15,41,35.262318,-59.44081,Tanker
15,42,35.262268,-59.440388,Tanker
15,43,35.262146,-59.439972,Tanker
15,44,35.262012,-59.43968,Tanker
15,45,35.261852,-59.439304,Tanker
15,46,35.2617,-59.43894,Tanker
15,47,35.26147,-59.43857,Tanker
15,48,35.26135,-59.438343,Tanker
15,49,35.26122,-59.438034,Tanker
15,50,35.261078,-59.437664,Tanker
15,51,35.260967,-59.437267,Tanker
15,52,35.2609,-59.43704,Tanker
15,53,35.260983,-59.4368,Tanker
15,54,35.26099,-59.436478,Tanker
15,55,35.26096,-59.436123,Tanker
15,56,35.26073,-59.43574,Tanker
15,57,35.260586,-59.43545,Tanker
15,58,35.2605,-59.43512,Tanker
15,59,35.260406,-59.43481,Tanker
15,60,35.26036,-59.434467,Tanker
15,61,35.26019,-59.434116,Tanker
15,62,35.260162,-59.433823,Tanker
15,63,35.260098,-59.433533,Tanker
15,64,35.26025,-59.433167,Tanker
15,65,35.26042,-59.4328,Tanker
15,66,35.260666,-59.432316,Tanker
15,67,35.260777,-59.431965,Tanker
15,68,35.26088,-59.431656,Tanker
15,69,35.260883,-59.43153,Tanker
15,70,35.260983,-59.43134,Tanker
15,71,35.261066,-59.431103,Tanker
15,72,35.26125,-59.430695,Tanker
15,73,35.261345,-59.430294,Tanker
15,74,35.26148,-59.42976,Tanker
26,0,35.262558,-59.45523,Tanker
26,1,35.262516,-59.45471,Tanker
26,2,35.262493,-59.45416,Tanker
26,3,35.26245,-59.453587,Tanker
26,4,35.262405,-59.453125,Tanker
35,0,35.26256,-59.455074,Tanker
35,1,35.26255,-59.45463,Tanker
35,2,35.26256,-59.454327,Tanker
35,3,35.262558,-59.45393,Tanker
35,4,35.262547,-59.45355,Tanker
37,0,35.262577,-59.455166,Tanker
37,1,35.26257,-59.454693,Tanker
37,2,35.262554,-59.454285,Tanker
37,3,35.262543,-59.45403,Tanker
37,4,35.262527,-59.453766,Tanker
37,5,35.262512,-59.453434,Tanker
37,6,35.262493,-59.45291,Tanker
37,7,35.262497,-59.452362,Tanker
37,8,35.26251,-59.451736,Tanker
37,9,35.262527,-59.451202,Tanker
37,10,35.26253,-59.450775,Tanker
37,11,35.262516,-59.450363,Tanker
37,12,35.2625,-59.449955,Tanker
37,13,35.262497,-59.44959,Tanker
37,14,35.26248,-59.449207,Tanker
37,15,35.262478,-59.448727,Tanker
37,16,35.262478,-59.448177,Tanker
37,17,35.262493,-59.44781,Tanker
37,18,35.262493,-59.447556,Tanker
37,19,35.262493,-59.447224,Tanker
37,20,35.262497,-59.446697,Tanker
37,21,35.26251,-59.446217,Tanker
37,22,35.262516,-59.445908,Tanker
37,23,35.26253,-59.445606,Tanker
37,24,35.262547,-59.445263,Tanker
37,25,35.262547,-59.444805,Tanker
37,26,35.262547,-59.44432,Tanker
37,27,35.262547,-59.44392,Tanker
37,28,35.262558,-59.443485,Tanker
37,29,35.26257,-59.44327,Tanker
37,30,35.26257,-59.442978,Tanker
37,31,35.262573,-59.442654,Tanker
37,32,35.262585,-59.44224,Tanker
43,0,35.262638,-59.455166,Tanker
43,1,35.26267,-59.454773,Tanker
43,2,35.262684,-59.45448,Tanker
43,3,35.262676,-59.454388,Tanker
43,4,35.26265,-59.45413,Tanker
43,5,35.262646,-59.453716,Tanker
43,6,35.26263,-59.45326,Tanker
43,7,35.262653,-59.45297,Tanker
43,8,35.26266,-59.45276,Tanker
43,9,35.26266,-59.45259,Tanker
43,10,35.262634,-59.45224,Tanker
43,11,35.262608,-59.451782,Tanker
43,12,35.262592,-59.451237,Tanker
43,13,35.26263,-59.45071,Tanker
43,14,35.262653,-59.450306,Tanker
43,15,35.262653,-59.449844,Tanker
43,16,35.262596,-59.449387,Tanker
43,17,35.26255,-59.448902,Tanker
43,18,35.262497,-59.448414,Tanker
43,19,35.262474,-59.448055,Tanker
43,20,35.262447,-59.447704,Tanker
43,21,35.262455,-59.447506,Tanker
43,22,35.262455,-59.447277,Tanker
