Trajectory_ID,Latitude,Longitude,Order,Type
833,35.26437,-59.447758,24,Cargo
129,35.2634,-59.447826,19,Cargo
1365,35.26524,-59.45474,18,Cargo
706,35.262638,-59.454235,20,Tanker
896,35.265423,-59.449467,33,Cargo
610,35.26585,-59.449444,17,Cargo
586,35.266987,-59.44928,21,Cargo
858,35.26298,-59.45599,1,Cargo
347,35.262585,-59.45569,5,Tanker
1046,35.262768,-59.454483,16,Tanker
974,35.265102,-59.45119,84,Tanker
1055,35.26298,-59.454212,21,Tanker
75,35.263744,-59.448303,24,Cargo
926,35.263077,-59.443317,40,Cargo
796,35.26437,-59.455627,21,Cargo
565,35.26341,-59.455822,18,Cargo
390,35.262768,-59.45526,5,Tanker
1047,35.263126,-59.455185,14,Cargo
906,35.263733,-59.455135,68,Tanker
179,35.26614,-59.431408,60,Cargo
349,35.27375,-59.433716,53,Cargo
762,35.263138,-59.454254,5,Cargo
221,35.262985,-59.453053,37,Tanker
1220,35.26268,-59.454865,3,Container
1098,35.26549,-59.443512,42,Cargo
128,35.264587,-59.440716,65,Container
909,35.262814,-59.44942,27,Cargo
516,35.26262,-59.45465,13,Tanker
1104,35.26335,-59.450195,22,Cargo
661,35.264057,-59.453384,41,Tanker
1073,35.26692,-59.440704,40,Cargo
723,35.271057,-59.441433,47,Cargo
222,35.26277,-59.451138,19,Container
1033,35.262676,-59.453297,11,Container
1282,35.264294,-59.451244,18,Cargo
1537,35.263035,-59.45203,7,Cargo
396,35.264385,-59.448986,20,Cargo
526,35.26341,-59.453564,3,Cargo
1194,35.26268,-59.45551,1,Tanker
709,35.262665,-59.455868,4,Cargo
313,35.265614,-59.456345,65,Cargo
249,35.269184,-59.45253,87,Cargo
1386,35.26298,-59.452663,12,Cargo
1062,35.264072,-59.449978,84,Tanker
246,35.263344,-59.4351,74,Container
962,35.263813,-59.457123,10,Cargo
883,35.26318,-59.45155,22,Tanker
1054,35.271618,-59.439953,41,Cargo
973,35.271175,-59.421967,70,Cargo
1162,35.263103,-59.45406,4,Cargo
143,35.281147,-59.424835,96,Cargo
866,35.264584,-59.453495,25,Cargo
222,35.262844,-59.449154,27,Container
425,35.263683,-59.452118,16,Cargo
108,35.262646,-59.45462,14,Tanker
876,35.26308,-59.44199,31,Cargo
1128,35.264256,-59.453247,8,Cargo
445,35.265526,-59.454487,43,Cargo
159,35.266514,-59.44679,22,Cargo
445,35.265385,-59.454468,34,Cargo
798,35.265873,-59.444347,26,Cargo
1407,35.26282,-59.455105,8,Tanker
1562,35.26344,-59.42938,68,Cargo
1310,35.264767,-59.451797,27,Cargo
1115,35.264526,-59.4556,41,Cargo
103,35.26308,-59.44191,26,Cargo
551,35.262608,-59.45534,2,Tanker
624,35.263523,-59.451336,13,Tanker
667,35.264183,-59.450848,24,Container
1541,35.267494,-59.437878,62,Cargo
639,35.2647,-59.449306,23,Cargo
1376,35.263035,-59.445873,16,Cargo
1070,35.2626,-59.45535,4,Tanker
1026,35.262695,-59.454967,8,Tanker
677,35.26386,-59.451,67,Tanker
357,35.26729,-59.446735,41,Cargo
586,35.26494,-59.452255,8,Cargo
290,35.262844,-59.454792,13,Tanker
791,35.262806,-59.453197,4,Cargo
550,35.263107,-59.44211,46,Cargo
1176,35.263355,-59.453022,13,Cargo
1130,35.26392,-59.45285,36,Cargo
495,35.264492,-59.4519,65,Tanker
819,35.263935,-59.45091,23,Container
152,35.266098,-59.44893,23,Cargo
927,35.263817,-59.453754,36,Tanker
207,35.262787,-59.449512,83,Tanker
41,35.265102,-59.459057,20,Cargo
623,35.269894,-59.443085,72,Cargo
324,35.26454,-59.443954,43,Cargo
1262,35.265804,-59.454376,32,Cargo
1203,35.262634,-59.454834,11,Tanker
1525,35.26337,-59.44988,22,Cargo
1262,35.266193,-59.45432,35,Cargo
997,35.263157,-59.451324,56,Tanker
1583,35.262604,-59.45523,0,Cargo
65,35.265743,-59.43495,42,Cargo
602,35.26288,-59.45566,20,Tanker
886,35.26396,-59.45328,44,Tanker
524,35.264065,-59.450073,81,Tanker
347,35.262863,-59.45576,13,Tanker
162,35.263546,-59.44821,29,Container
655,35.278515,-59.42664,84,Cargo
967,35.265575,-59.444897,25,Cargo
690,35.262897,-59.454132,23,Tanker
973,35.272366,-59.419262,78,Cargo
428,35.26579,-59.444492,32,Cargo
1474,35.263203,-59.452152,5,Cargo
422,35.26265,-59.453167,7,Cargo
910,35.26285,-59.45454,15,Tanker
1125,35.264874,-59.436695,62,Cargo
47,35.263096,-59.455547,21,Tanker
988,35.262634,-59.45439,17,Tanker
647,35.263157,-59.453278,34,Tanker
258,35.262608,-59.454403,5,Container
461,35.266666,-59.42447,62,Cargo
968,35.262913,-59.45409,22,Tanker
339,35.26268,-59.4552,3,Tanker
331,35.263912,-59.45088,11,Cargo
48,35.263058,-59.454754,16,Tanker
904,35.26319,-59.455048,10,Cargo
735,35.264038,-59.449993,24,Cargo
705,35.26302,-59.452755,10,Container
1015,35.275887,-59.43088,68,Cargo
432,35.266277,-59.44803,43,Cargo
409,35.263042,-59.45404,3,Cargo
589,35.265087,-59.44736,23,Cargo
1058,35.26662,-59.454666,79,Cargo
1225,35.262737,-59.45204,8,Cargo
289,35.26292,-59.45438,19,Tanker
639,35.266216,-59.441677,50,Cargo
920,35.264893,-59.439495,32,Cargo
1147,35.271206,-59.44217,77,Cargo
590,35.263233,-59.45119,63,Tanker
1228,35.265316,-59.445705,23,Cargo
832,35.26305,-59.44273,41,Cargo
1423,35.267506,-59.447514,47,Cargo
623,35.26901,-59.445644,59,Cargo
261,35.265614,-59.455368,30,Cargo
560,35.26408,-59.454502,39,Cargo
648,35.263367,-59.4539,4,Cargo
1177,35.27132,-59.425144,81,Cargo
1514,35.26781,-59.447098,33,Cargo
246,35.263096,-59.44048,52,Container
128,35.26456,-59.44132,62,Container
252,35.262787,-59.45387,26,Tanker
788,35.26887,-59.452084,67,Cargo
1443,35.26724,-59.439163,60,Cargo
320,35.263165,-59.441517,62,Cargo
46,35.264008,-59.44928,26,Cargo
1061,35.26837,-59.444134,31,Cargo
731,35.263012,-59.444077,27,Cargo
1486,35.26402,-59.45458,12,Cargo
857,35.262665,-59.454865,9,Tanker
951,35.262894,-59.445118,22,Cargo
1044,35.262726,-59.45537,1,Cargo
1549,35.269146,-59.44629,28,Cargo
1586,35.26328,-59.4351,49,Cargo
1421,35.263874,-59.419643,84,Cargo
327,35.264797,-59.438313,37,Cargo
1417,35.263447,-59.451294,17,Container
97,35.262775,-59.45492,8,Tanker
90,35.26385,-59.446747,22,Tanker
523,35.26526,-59.451385,15,Cargo
1532,35.26271,-59.455288,4,Tanker
885,35.262608,-59.455536,1,Tanker
542,35.270954,-59.44798,84,Cargo
108,35.262615,-59.455505,1,Tanker
188,35.26638,-59.4519,32,Cargo
802,35.263,-59.453217,33,Tanker
986,35.265835,-59.449352,37,Cargo
120,35.268326,-59.43584,45,Cargo
744,35.262802,-59.454742,4,Cargo
994,35.263058,-59.453934,5,Cargo
461,35.26582,-59.430035,52,Cargo
929,35.273968,-59.4363,63,Cargo
267,35.263313,-59.435444,52,Cargo
985,35.267414,-59.44429,29,Cargo
238,35.26572,-59.4494,37,Cargo
1030,35.262993,-59.452312,7,Cargo
274,35.266026,-59.4428,30,Cargo
525,35.26445,-59.453125,8,Cargo
1122,35.2635,-59.455017,8,Cargo
328,35.263092,-59.452084,13,Container
1294,35.263905,-59.453903,7,Cargo
740,35.262676,-59.45293,40,Tanker
1193,35.262897,-59.454178,23,Tanker
